EventID,Edep_MeV,#PE,#NoisePE,SignalPE,fine_bin,merged_bin
263014,0.42400834965289846,239,61,178,424,28
257706,0.42402956117441104,252,56,196,424,28
355491,0.4240417516054195,230,54,176,424,28
252020,0.4240430922906012,211,46,165,424,28
335457,0.424055396237179,271,77,194,424,28
343843,0.42406022502986135,209,42,167,424,28
229231,0.4240618724336013,217,40,177,424,28
256417,0.424062450602219,301,88,213,424,28
382287,0.4240817346999875,256,66,190,424,28
382927,0.4240883799648653,238,60,178,424,28
396492,0.42411903988199046,272,66,206,424,28
363081,0.4241264529208522,228,49,179,424,28
302700,0.42413596805759457,248,62,186,424,28
380069,0.42414066745235063,272,75,197,424,28
320995,0.42415678661659356,244,58,186,424,28
317397,0.42417516930395155,248,60,188,424,28
250659,0.4242074261779134,217,55,162,424,28
340134,0.42421627072136353,216,50,166,424,28
348739,0.4242401957435958,241,59,182,424,28
348444,0.4242470036204366,227,54,173,424,28
275402,0.42424990526966755,279,78,201,424,28
368448,0.424250080421799,226,52,174,424,28
362710,0.42427867637750266,270,78,192,424,28
302510,0.4242833288351038,212,43,169,424,28
270795,0.42429541863627607,234,47,187,424,28
371046,0.42430943624996753,267,47,220,424,28
276490,0.4243098113065062,243,72,171,424,28
386831,0.4243121969568407,249,61,188,424,28
334861,0.4243604401636332,247,74,173,424,28
370635,0.424366778322314,295,95,200,424,28
259014,0.4243878841252001,243,69,174,424,28
330363,0.42441116581354044,259,65,194,424,28
169285,0.4244127338711909,223,51,172,424,28
369995,0.4244150863778315,297,79,218,424,28
304909,0.4244180172474382,260,75,185,424,28
336421,0.42443852322557285,241,66,175,424,28
262061,0.4244568177162299,265,69,196,424,28
263077,0.4244670482085806,238,49,189,424,28
378950,0.4244940890348255,231,59,172,424,28
353227,0.4245105630064426,271,64,207,424,28
337494,0.4245156735246722,237,42,195,424,28
254345,0.4245187867662787,224,43,181,424,28
273846,0.4245226473766106,262,62,200,424,28
283826,0.4245227156161897,269,69,200,424,28
257723,0.42455804676957287,246,62,184,424,28
254570,0.42457054528116817,231,59,172,424,28
335998,0.4245746029700524,246,62,184,424,28
396754,0.42460689309944094,272,81,191,424,28
280399,0.4246658701214857,284,76,208,424,28
318626,0.4246805276187912,244,60,184,424,28
251747,0.42468804650359726,253,54,199,424,28
357985,0.42472273773667213,260,72,188,424,28
280578,0.4247251243548566,227,55,172,424,28
316505,0.4247408896016588,260,71,189,424,28
323353,0.4247447166712598,252,61,191,424,28
357872,0.42475413223802255,211,39,172,424,28
355837,0.42475862961271227,287,80,207,424,28
292773,0.4247645503754332,257,67,190,424,28
394578,0.4247649307633074,239,63,176,424,28
293494,0.42476966904034225,240,53,187,424,28
263681,0.4247709019123441,237,46,191,424,28
289338,0.42478013300720785,233,50,183,424,28
252893,0.4247951222973579,197,40,157,424,28
262138,0.42487173996711175,242,48,194,424,28
352866,0.4248721868679345,251,66,185,424,28
276437,0.42488334323823673,252,68,184,424,28
323403,0.4248856809560268,214,49,165,424,28
289021,0.4249467276838074,266,65,201,424,28
344769,0.4249515682912989,269,74,195,424,28
254579,0.4249531561980327,258,65,193,424,28
298049,0.4249839532097989,258,69,189,424,28
342339,0.4250079834494029,215,43,172,425,28
389742,0.4250222492704751,221,42,179,425,28
320868,0.4250388119369959,258,57,201,425,28
317719,0.42504519033491533,252,60,192,425,28
296339,0.4250704631846212,281,69,212,425,28
294804,0.4250773642352362,251,44,207,425,28
359661,0.42507873452695605,238,53,185,425,28
346275,0.42509395449078013,200,39,161,425,28
261974,0.4251027521136917,248,56,192,425,28
291683,0.4251367756102306,259,60,199,425,28
393516,0.42514319095555864,241,58,183,425,28
281642,0.4251448990634578,243,73,170,425,28
255754,0.42517455193007175,253,57,196,425,28
276633,0.4252111550421293,279,75,204,425,28
372302,0.425228926595396,252,71,181,425,28
282748,0.42523100762312604,234,57,177,425,28
284985,0.4252485138964481,211,40,171,425,28
305339,0.4252634066989977,250,58,192,425,28
284574,0.4253070559197866,239,65,174,425,28
263095,0.42534541185873015,255,63,192,425,28
321957,0.42536502146011235,235,54,181,425,28
397981,0.42536649927034054,310,95,215,425,28
390309,0.4253709013590536,307,96,211,425,28
293487,0.4253938870696634,228,62,166,425,28
326691,0.4253997743575309,231,65,166,425,28
297850,0.4254077772950797,253,60,193,425,28
324093,0.4254098986855163,262,72,190,425,28
375511,0.4254482818676404,242,61,181,425,28
309104,0.42545703261085077,284,72,212,425,28
241324,0.4255094558289063,225,43,182,425,28
365250,0.42553070493255396,267,87,180,425,28
256296,0.42556105704121555,254,80,174,425,28
324392,0.4255751728803145,243,67,176,425,28
387170,0.42558753850306125,233,68,165,425,28
302413,0.42562829841934946,215,55,160,425,28
293648,0.4256294024256223,237,51,186,425,28
276440,0.42564268890974805,232,50,182,425,28
275616,0.42567179303326685,243,58,185,425,28
269208,0.42571493536625904,258,62,196,425,28
269126,0.4257152360251295,214,60,154,425,28
264100,0.42575015108544,221,41,180,425,28
320182,0.42576839501442687,239,51,188,425,28
277880,0.42578939688636686,259,67,192,425,28
365194,0.4258553833534508,241,60,181,425,28
345666,0.4258630576179204,223,47,176,425,28
298432,0.4258633109360571,231,44,187,425,28
331100,0.42588416834738596,238,53,185,425,28
261725,0.42589694750952545,210,48,162,425,28
362647,0.425897203609513,239,46,193,425,28
331269,0.4258987110668838,275,72,203,425,28
257483,0.42590275604271915,252,57,195,425,28
283741,0.4259309079687447,240,55,185,425,28
363939,0.4261066214978649,274,88,186,426,28
293503,0.4261169323542549,265,62,203,426,28
258746,0.426155139575207,239,47,192,426,28
285395,0.4261873211526886,272,61,211,426,28
294416,0.4261921221635734,267,65,202,426,28
346606,0.4262031566318816,225,51,174,426,28
357529,0.4262072365074411,276,81,195,426,28
336810,0.4262200367522758,273,77,196,426,28
289884,0.4262515337392503,255,72,183,426,28
392083,0.4262595185883412,253,61,192,426,28
376209,0.42628947348360846,257,69,188,426,28
327833,0.42630686039681376,298,80,218,426,28
303911,0.42634465158537627,258,73,185,426,28
375898,0.426355028539189,281,73,208,426,28
321483,0.42636101434989004,241,56,185,426,28
274305,0.42639089875013403,274,72,202,426,28
386959,0.42639514398575085,224,48,176,426,28
253298,0.4263981249992123,237,48,189,426,28
329258,0.42644099803716756,250,59,191,426,28
321770,0.426487866769841,268,73,195,426,28
303523,0.4264900467257331,258,64,194,426,28
298258,0.4264904401972727,260,67,193,426,28
