EventID,Edep_MeV,#PE,#NoisePE,SignalPE,fine_bin,merged_bin
219021,0.4720056173623678,271,60,211,472,31
211562,0.4720140157072667,301,84,217,472,31
229970,0.47201525078662004,299,85,214,472,31
231072,0.4720210893495366,289,71,218,472,31
212725,0.4720217074737812,266,64,202,472,31
266394,0.4720240090197208,250,54,196,472,31
362987,0.47203469751593125,289,69,220,472,31
247194,0.47204574354034085,296,73,223,472,31
399912,0.47204834417444724,264,66,198,472,31
224028,0.47204871951755545,269,62,207,472,31
375250,0.47205428104188374,263,65,198,472,31
231197,0.4720633535458706,251,53,198,472,31
208839,0.4720669607281308,325,85,240,472,31
221820,0.47206706419766736,302,69,233,472,31
241990,0.47208670275593523,276,67,209,472,31
340858,0.47209262766722343,271,56,215,472,31
335260,0.4721064159798266,266,46,220,472,31
329165,0.47210747347675364,293,70,223,472,31
204593,0.4721103954333451,249,63,186,472,31
228513,0.47212351787612317,237,58,179,472,31
218642,0.4721294887280544,246,58,188,472,31
204308,0.47213737105835324,262,67,195,472,31
213292,0.4721465484878074,316,72,244,472,31
249868,0.4721567260419375,303,89,214,472,31
203632,0.4721607619215661,263,61,202,472,31
203148,0.4721640996637006,341,99,242,472,31
335164,0.47217360333217584,307,89,218,472,31
332079,0.4721873290811071,298,69,229,472,31
235061,0.47219002306103847,284,73,211,472,31
304174,0.47220972498168623,302,73,229,472,31
247372,0.4722166319724725,320,84,236,472,31
305332,0.472232643954225,284,75,209,472,31
337915,0.47224041473518386,302,92,210,472,31
219738,0.4722416706726018,264,59,205,472,31
209421,0.4722485627868936,267,50,217,472,31
224899,0.4722524940678579,269,56,213,472,31
241971,0.4722537512756541,249,54,195,472,31
234236,0.4722682766362054,260,60,200,472,31
223469,0.47229689778668743,279,67,212,472,31
215579,0.4723058601466913,258,63,195,472,31
222553,0.4723172187987001,311,83,228,472,31
201126,0.4723225151515327,306,91,215,472,31
243061,0.4723502286485361,279,62,217,472,31
237655,0.47237829298482203,281,69,212,472,31
354209,0.4723887962968338,295,72,223,472,31
226192,0.47240097711041457,315,79,236,472,31
391905,0.47246782419517525,290,74,216,472,31
308274,0.47247293208182356,313,85,228,472,31
390835,0.4725132668342206,262,45,217,472,31
252632,0.4725270643337684,269,58,211,472,31
387224,0.4725446021697509,273,63,210,472,31
203950,0.47255289071269707,311,77,234,472,31
213850,0.4726481621229537,309,80,229,472,31
340294,0.47265703650991997,296,81,215,472,31
224460,0.4726804267431184,258,61,197,472,31
304870,0.4727493598169399,239,55,184,472,31
316188,0.47275811398341855,244,53,191,472,31
325097,0.4727589279273488,286,62,224,472,31
218347,0.47276918847800214,266,54,212,472,31
357877,0.472788438399547,264,64,200,472,31
379099,0.47284511378645927,312,77,235,472,31
219648,0.4729055618178665,316,72,244,472,31
354413,0.4729703613744987,295,76,219,472,31
315443,0.4730027943344798,315,81,234,473,31
383064,0.47300531120653483,282,81,201,473,31
339615,0.4730115221872374,314,72,242,473,31
320027,0.4730118969969525,281,52,229,473,31
360836,0.4731364139214067,258,65,193,473,31
311023,0.47317453927926006,296,85,211,473,31
385563,0.47320307332211525,281,70,211,473,31
305844,0.47323380385961983,269,56,213,473,31
318715,0.4732732367572009,287,71,216,473,31
368286,0.47327444776574135,272,57,215,473,31
367773,0.47327730038461796,295,66,229,473,31
319354,0.4733341804632206,301,82,219,473,31
305999,0.47337249133199827,249,42,207,473,31
374616,0.4734133916266512,255,59,196,473,31
269752,0.47350088155059183,279,59,220,473,31
227437,0.4735722497536099,275,60,215,473,31
314784,0.4735829777815361,302,74,228,473,31
330856,0.47362447700497573,249,57,192,473,31
303538,0.47364129737885413,254,60,194,473,31
395498,0.4737342758408766,264,67,197,473,31
328084,0.47374916620897,312,91,221,473,31
217135,0.47380438082295434,317,87,230,473,31
301661,0.47380962691446793,284,75,209,473,31
316115,0.47381071898107946,275,68,207,473,31
395469,0.47387626458148957,269,60,209,473,31
395814,0.4739265195514218,269,64,205,473,31
360543,0.4739374992236794,247,66,181,473,31
361355,0.47395519365526406,239,61,178,473,31
341168,0.4740007218675996,298,77,221,474,31
323087,0.4740160624697473,254,62,192,474,31
313936,0.47402516738851647,254,54,200,474,31
372088,0.47408082588017686,292,80,212,474,31
340032,0.4740808984596821,260,59,201,474,31
364670,0.4741179572640367,265,49,216,474,31
327812,0.47415326813957276,315,82,233,474,31
311926,0.47415936895447247,240,65,175,474,31
362098,0.4741600107335083,289,75,214,474,31
317349,0.47423136999512133,302,82,220,474,31
351019,0.47423503845529946,250,57,193,474,31
309675,0.4743320626044857,251,57,194,474,31
309449,0.4743632076317221,278,77,201,474,31
378870,0.47436362236566076,269,51,218,474,31
392804,0.47436492356400833,238,50,188,474,31
