EventID,Edep_MeV,#PE,#NoisePE,SignalPE,fine_bin,merged_bin
226256,0.022004255474020032,11,2,9,22,2
159635,0.022013017490144015,13,1,12,22,2
288386,0.022015123038170055,12,1,11,22,2
316008,0.022018538591160156,16,4,12,22,2
103934,0.02201877697858392,14,4,10,22,2
210757,0.02202728477324608,15,4,11,22,2
294352,0.022033643532640087,16,5,11,22,2
169817,0.022039565428400465,12,2,10,22,2
261034,0.022041544103638185,11,1,10,22,2
145280,0.022054404879271,13,6,7,22,2
137227,0.022063420142673238,12,3,9,22,2
377368,0.022063652253728215,22,10,12,22,2
265749,0.02206831641871928,13,2,11,22,2
247078,0.022077055692275065,11,3,8,22,2
167521,0.022077907161926428,13,5,8,22,2
362286,0.0220784918294708,4,0,4,22,2
143289,0.02209403069273268,17,5,12,22,2
374070,0.02209469108625795,8,1,7,22,2
194470,0.02209554033328822,9,0,9,22,2
212831,0.02210368966542809,6,0,6,22,2
143618,0.022114131592783602,8,2,6,22,2
283244,0.022118943822092733,11,2,9,22,2
107696,0.022128885296052066,12,2,10,22,2
161408,0.022132840203022416,12,4,8,22,2
328391,0.022133883756539637,15,7,8,22,2
226021,0.022147268188950565,10,4,6,22,2
185816,0.022148073615294486,10,3,7,22,2
115945,0.022148435724901716,7,0,7,22,2
228647,0.022150200449115174,8,3,5,22,2
396162,0.022150556486004218,22,8,14,22,2
322081,0.02215093842590175,11,4,7,22,2
217566,0.022151302728184417,19,3,16,22,2
245903,0.02215352768458228,11,2,9,22,2
269770,0.022163192488254754,23,8,15,22,2
213455,0.022174552411687594,12,1,11,22,2
384244,0.02217779343827173,11,3,8,22,2
367424,0.022179117860698164,11,2,9,22,2
238560,0.022185196844354896,20,8,12,22,2
284642,0.022191464111293864,21,7,14,22,2
266616,0.022198963312767044,17,7,10,22,2
178046,0.02220310987681072,8,2,6,22,2
238741,0.02220431261959826,16,6,10,22,2
357922,0.02220611801857411,10,3,7,22,2
179562,0.022210229858172153,20,7,13,22,2
221705,0.022212252337742024,21,11,10,22,2
347157,0.02221226849096675,13,6,7,22,2
201577,0.02221594020326654,10,2,8,22,2
115114,0.022217999874523577,12,4,8,22,2
255439,0.0222181434254584,17,5,12,22,2
267392,0.022222892526662947,19,4,15,22,2
332432,0.022234256610082364,11,2,9,22,2
126648,0.022235541539533582,6,1,5,22,2
108459,0.022235651605902813,14,2,12,22,2
109593,0.022239158619460592,12,6,6,22,2
255649,0.022242256439915658,8,1,7,22,2
250675,0.022245750415109886,19,6,13,22,2
203326,0.022253763567622094,16,6,10,22,2
277206,0.02226769963720321,14,5,9,22,2
384754,0.022270266928902722,11,2,9,22,2
233288,0.022271048176632988,11,3,8,22,2
215316,0.02229213342971061,28,10,18,22,2
300581,0.02229428546108628,22,10,12,22,2
365249,0.022294656523444156,17,5,12,22,2
121274,0.022305996889007508,9,2,7,22,2
253525,0.022310691410826554,10,5,5,22,2
185422,0.022311273024663597,24,9,15,22,2
360312,0.02231185515126891,15,6,9,22,2
281845,0.022314473715689783,8,0,8,22,2
242695,0.022316346953661245,19,10,9,22,2
115883,0.022324035278818787,13,3,10,22,2
285823,0.022338287518911006,13,2,11,22,2
140923,0.022340768311589782,9,3,6,22,2
131034,0.022351805501169136,9,1,8,22,2
180546,0.02235362883183111,8,2,6,22,2
110451,0.022354357907072235,22,4,18,22,2
234935,0.022354685617965237,14,6,8,22,2
189024,0.022355455895196667,6,1,5,22,2
53256,0.02235851283518154,17,3,14,22,2
231642,0.022360458434133503,5,0,5,22,2
198398,0.022366392054495934,11,2,9,22,2
207061,0.022367932848835394,24,15,9,22,2
348545,0.022368375576828522,14,6,8,22,2
274698,0.022371584408229155,15,10,5,22,2
255631,0.022373038482848107,22,8,14,22,2
192552,0.0223759666564679,18,6,12,22,2
212198,0.02237998117485031,11,2,9,22,2
383592,0.022394746498843942,12,1,11,22,2
114837,0.022395462214922217,15,3,12,22,2
215987,0.02240851638177755,8,0,8,22,2
189188,0.022413267391564934,11,2,9,22,2
180591,0.022413498637530182,7,2,5,22,2
273965,0.022429133128505647,20,7,13,22,2
315772,0.0224306902728839,14,4,10,22,2
120827,0.022435627652073135,15,7,8,22,2
104098,0.02243851867811079,19,6,13,22,2
311487,0.02244355539678434,20,5,15,22,2
167075,0.02244515056915213,6,1,5,22,2
174813,0.02245279870812565,8,1,7,22,2
342619,0.022452800364847026,12,0,12,22,2
171578,0.022461101023523725,15,7,8,22,2
231593,0.022462376226312572,13,3,10,22,2
129605,0.022464346208934075,11,3,8,22,2
106069,0.022464448577235605,13,5,8,22,2
32607,0.02246646998749165,10,2,8,22,2
384982,0.022467920399555037,18,2,16,22,2
249906,0.02247106048300782,15,3,12,22,2
133778,0.022472436355633573,20,8,12,22,2
141311,0.022483079494882166,12,2,10,22,2
354697,0.022487862741290433,14,6,8,22,2
260392,0.022489035534573876,8,1,7,22,2
183222,0.022492692193173326,8,3,5,22,2
108992,0.02249298827344308,10,2,8,22,2
153939,0.022495643657904112,13,2,11,22,2
193301,0.02250410335938095,19,4,15,22,2
214321,0.022509039767884233,13,2,11,22,2
372420,0.022514032215007498,10,2,8,22,2
316124,0.022515669065237665,10,2,8,22,2
315341,0.022519029054840628,10,2,8,22,2
320808,0.02252060468953588,16,6,10,22,2
140494,0.022529959244226717,21,3,18,22,2
115863,0.02254352845468911,18,7,11,22,2
348619,0.022546869092933925,21,9,12,22,2
346518,0.022562584333512308,17,7,10,22,2
330948,0.022563328707411318,7,2,5,22,2
316704,0.022564753935959903,10,3,7,22,2
228031,0.022572739931216113,10,1,9,22,2
31847,0.022584912756236603,16,8,8,22,2
157207,0.022592307637882326,10,5,5,22,2
181427,0.02259339082570842,13,3,10,22,2
202932,0.02259399900369568,13,5,8,22,2
346046,0.022599991904214575,14,1,13,22,2
168551,0.022601054997117998,11,3,8,22,2
310186,0.022606248788702536,17,6,11,22,2
377,0.022618022197231212,19,5,14,22,2
389945,0.02262058485517072,16,6,10,22,2
248036,0.02262067302457499,9,3,6,22,2
218899,0.0226429170974462,7,0,7,22,2
48814,0.022644027879335067,14,6,8,22,2
205007,0.02264607718342059,13,7,6,22,2
299402,0.02264717126163271,14,2,12,22,2
219031,0.02264734484422541,25,10,15,22,2
61950,0.022650328634249497,22,10,12,22,2
219774,0.02265227918948369,12,4,8,22,2
189556,0.022657614467799247,13,1,12,22,2
305488,0.02265886057173455,14,5,9,22,2
269142,0.0226596967664572,11,2,9,22,2
235058,0.022665438820832322,18,5,13,22,2
279348,0.022673851789694287,18,4,14,22,2
200470,0.022675306414896675,3,1,2,22,2
332966,0.022679687059409242,10,4,6,22,2
217928,0.022693028510180055,15,4,11,22,2
146938,0.02269436233348659,24,7,17,22,2
277066,0.02269928586444606,9,2,7,22,2
289748,0.02270093521286269,18,5,13,22,2
310703,0.022705537979178566,15,3,12,22,2
227085,0.022718169403550467,12,2,10,22,2
127068,0.022723978765794045,7,1,6,22,2
102561,0.022726186276009242,13,2,11,22,2
116624,0.022730378209733202,10,4,6,22,2
120201,0.022739892235587218,32,17,15,22,2
319874,0.022741471516079356,16,3,13,22,2
142910,0.022747235279865313,10,1,9,22,2
377451,0.022752076311012736,13,4,9,22,2
169730,0.022752158574619822,15,6,9,22,2
273922,0.022758770192186327,18,8,10,22,2
238137,0.022761387790859962,14,3,11,22,2
170852,0.022769525748046558,13,5,8,22,2
352903,0.02277315320334729,17,5,12,22,2
365130,0.022775035760490184,29,7,22,22,2
304928,0.022776773441509555,22,10,12,22,2
215044,0.02278576031378915,13,5,8,22,2
2210,0.022789159262938473,12,3,9,22,2
204666,0.022790876899262024,7,2,5,22,2
251917,0.022792236591546805,26,11,15,22,2
144644,0.02279245661179776,14,2,12,22,2
378635,0.022793157388314236,14,4,10,22,2
275786,0.022794010947141233,10,3,7,22,2
252144,0.022794297949006757,18,3,15,22,2
149256,0.022805756473462595,16,4,12,22,2
299597,0.022814850250093534,16,2,14,22,2
32730,0.02281651634823785,11,5,6,22,2
164960,0.022821081492244988,18,3,15,22,2
170518,0.022824414275434197,9,1,8,22,2
244778,0.02282710071209059,18,5,13,22,2
187888,0.022829563205334313,14,6,8,22,2
206912,0.02282960028732349,18,10,8,22,2
176410,0.02283232654577279,15,3,12,22,2
16393,0.022833333804798964,11,1,10,22,2
246621,0.022837232073885425,18,4,14,22,2
244274,0.022837600693293207,15,2,13,22,2
221348,0.02284312416445999,18,5,13,22,2
352406,0.022848614813783627,18,8,10,22,2
109270,0.022854524089063757,11,3,8,22,2
172529,0.022856180524747836,21,6,15,22,2
225327,0.022859920362728024,19,6,13,22,2
236419,0.02286017360690775,13,2,11,22,2
122390,0.02286162362346523,15,5,10,22,2
122170,0.02286718015093845,21,7,14,22,2
26038,0.022876575610685682,24,14,10,22,2
304070,0.022895007331492027,19,7,12,22,2
135877,0.02289890014410058,8,3,5,22,2
184662,0.022902430405540696,17,7,10,22,2
301927,0.022904433609952653,10,0,10,22,2
207048,0.02290497345026473,20,10,10,22,2
374720,0.02290803646864959,14,3,11,22,2
180823,0.022908935247956667,9,3,6,22,2
303249,0.022915917356309587,19,6,13,22,2
353539,0.022920663479527918,14,2,12,22,2
241724,0.02292244974785242,14,5,9,22,2
304374,0.022924054870273016,10,1,9,22,2
366857,0.022924968308467495,6,2,4,22,2
274542,0.02292595580960971,18,6,12,22,2
291806,0.022938564080292566,28,12,16,22,2
268809,0.022939473356454472,10,2,8,22,2
324778,0.022950322510866504,14,7,7,22,2
172029,0.022951335220561524,11,1,10,22,2
241509,0.022951710759066025,14,4,10,22,2
326052,0.022952235298148913,20,10,10,22,2
318531,0.022958585211237083,14,4,10,22,2
37214,0.022959688397075392,10,0,10,22,2
139296,0.022961647818327224,17,4,13,22,2
145826,0.02296224545401292,7,0,7,22,2
187148,0.022967923832702797,16,4,12,22,2
267335,0.022973621261790877,13,4,9,22,2
273772,0.022977766984873804,20,4,16,22,2
174768,0.022978879905639907,17,8,9,22,2
121129,0.02297981194936172,23,4,19,22,2
266027,0.02298586833106206,20,5,15,22,2
356965,0.022987905261121745,14,4,10,22,2
255609,0.022992077040882946,12,2,10,22,2
168941,0.022992249195233832,13,0,13,22,2
344758,0.022998613695421166,7,2,5,22,2
389425,0.023001005031227532,21,6,15,23,2
272707,0.023006481302822165,13,5,8,23,2
253834,0.02300878972858544,14,5,9,23,2
185644,0.02300899728616837,14,1,13,23,2
389334,0.023010903404865727,16,9,7,23,2
247701,0.023012381967389382,13,4,9,23,2
11059,0.023015862315802722,18,7,11,23,2
357673,0.02302663294378158,18,5,13,23,2
155785,0.023030887502225737,23,9,14,23,2
204404,0.02303101998497938,23,10,13,23,2
324609,0.02303336533229804,19,8,11,23,2
378776,0.02303579833271522,14,5,9,23,2
219298,0.023043144963626454,22,6,16,23,2
90793,0.023043746320572912,14,5,9,23,2
195276,0.02304392446427033,24,8,16,23,2
306708,0.02304903601869964,19,7,12,23,2
105755,0.02305439513852705,22,4,18,23,2
