EventID,Edep_MeV,#PE,#NoisePE,SignalPE,fine_bin,merged_bin
296242,0.6460000110977788,349,75,274,646,12
282386,0.6460005630702551,376,88,288,646,12
257084,0.6460005802477684,419,104,315,646,12
270115,0.6460006717799192,388,84,304,646,12
257037,0.6460008724488453,329,94,235,646,12
282427,0.6460008783347645,395,105,290,646,12
278343,0.6460010991969166,362,84,278,646,12
254269,0.646001137985534,426,116,310,646,12
267935,0.6460011519666328,376,75,301,646,12
285247,0.6460012347488517,355,102,253,646,12
252265,0.6460013460838058,391,105,286,646,12
260351,0.6460014121742264,367,79,288,646,12
274372,0.6460014891959764,339,87,252,646,12
295926,0.6460016362142234,376,95,281,646,12
289391,0.6460016775386592,385,91,294,646,12
285225,0.6460016803133923,341,81,260,646,12
259334,0.6460016812818283,372,94,278,646,12
290997,0.6460017179285101,378,97,281,646,12
287351,0.6460019264803972,372,107,265,646,12
289189,0.6460021249398756,389,106,283,646,12
272703,0.6460021350508801,370,87,283,646,12
290490,0.6460023658105236,400,97,303,646,12
253152,0.6460023837684559,375,73,302,646,12
293885,0.6460025882743817,385,110,275,646,12
275607,0.6460026597309161,404,106,298,646,12
256407,0.6460026963731405,408,93,315,646,12
294593,0.6460027716196042,394,106,288,646,12
275404,0.646002812897266,407,113,294,646,12
270595,0.6460028525691927,344,78,266,646,12
291428,0.6460030720366948,386,94,292,646,12
262189,0.6460030725792959,366,81,285,646,12
264844,0.646003095150473,389,100,289,646,12
273474,0.6460032182528157,423,116,307,646,12
287016,0.6460032898928785,329,67,262,646,12
296071,0.6460033462882724,378,84,294,646,12
270444,0.6460034178447635,382,101,281,646,12
292809,0.6460035487448116,396,101,295,646,12
274073,0.6460036361131062,364,89,275,646,12
298938,0.6460037073980536,396,112,284,646,12
288872,0.6460038775127609,380,82,298,646,12
254382,0.6460039044398742,368,96,272,646,12
262445,0.6460041406950908,414,116,298,646,12
286686,0.6460042865390856,347,77,270,646,12
259097,0.6460042997705617,351,69,282,646,12
276738,0.6460043201538916,418,108,310,646,12
259162,0.6460044120480226,397,102,295,646,12
275593,0.6460045880978539,381,77,304,646,12
286891,0.6460047542716677,354,85,269,646,12
281190,0.6460049893685491,384,84,300,646,12
266371,0.646005107635943,361,92,269,646,12
251216,0.6460052515964574,391,106,285,646,12
297828,0.6460052804517897,385,101,284,646,12
255740,0.6460054294452734,394,87,307,646,12
254301,0.6460054849674481,377,87,290,646,12
258519,0.6460055144594834,316,71,245,646,12
265549,0.646005520985862,393,110,283,646,12
297608,0.6460055918587333,411,106,305,646,12
289120,0.6460057524100964,361,101,260,646,12
270008,0.6460058089324509,385,111,274,646,12
290222,0.6460060157727483,383,108,275,646,12
251860,0.6460060332507327,368,85,283,646,12
289914,0.6460063028258768,417,105,312,646,12
250746,0.6460063517342605,349,81,268,646,12
272826,0.6460064162334658,363,83,280,646,12
265581,0.6460064195990175,360,78,282,646,12
261574,0.6460065120529951,330,72,258,646,12
293131,0.646006756894875,413,116,297,646,12
273314,0.6460069554029763,394,113,281,646,12
362294,0.6460070238950146,397,81,316,646,12
257892,0.6460072573823229,370,87,283,646,12
276893,0.646007391937436,384,86,298,646,12
287812,0.6460074106993945,374,89,285,646,12
286326,0.6460074768230011,389,99,290,646,12
257462,0.6460076025994591,380,89,291,646,12
255116,0.646007617416261,330,74,256,646,12
281497,0.6460076701887965,374,106,268,646,12
279118,0.6460078250222036,406,100,306,646,12
251990,0.6460078367980217,416,115,301,646,12
280502,0.6460080192098137,381,92,289,646,12
299504,0.6460080343477153,379,96,283,646,12
250717,0.6460081536918479,336,71,265,646,12
294741,0.646008184625255,343,79,264,646,12
254698,0.646008229857747,360,86,274,646,12
295561,0.6460084932841537,367,98,269,646,12
273199,0.6460085268037015,368,96,272,646,12
289272,0.6460085655221632,387,93,294,646,12
255298,0.646008627572571,387,104,283,646,12
261754,0.646008701262449,344,80,264,646,12
263494,0.6460089778177294,392,92,300,646,12
272777,0.6460089836826752,370,93,277,646,12
260852,0.6460090367408935,394,117,277,646,12
261837,0.6460094009930305,389,115,274,646,12
250068,0.6460096330415656,356,76,280,646,12
296586,0.6460096390211291,322,54,268,646,12
276607,0.6460096673830829,336,90,246,646,12
259761,0.6460097252997002,415,99,316,646,12
293814,0.6460099265691823,373,85,288,646,12
260911,0.6460099675957642,394,105,289,646,12
264777,0.6460101936604675,373,85,288,646,12
267432,0.6460104337601692,379,91,288,646,12
264792,0.6460106564389811,400,98,302,646,12
291839,0.6460107121729229,366,99,267,646,12
252604,0.6460107561431675,352,69,283,646,12
282835,0.6460107944630941,379,89,290,646,12
287933,0.6460111753481849,400,99,301,646,12
284678,0.6460115753682193,362,86,276,646,12
250584,0.6460117466246097,370,82,288,646,12
272417,0.646011924586903,464,143,321,646,12
273884,0.6460120983167734,384,106,278,646,12
284106,0.6460121297893757,357,77,280,646,12
283319,0.6460122901473202,406,110,296,646,12
268155,0.6460122964404197,375,104,271,646,12
288473,0.6460123268631623,398,100,298,646,12
299493,0.6460125139726749,365,95,270,646,12
285493,0.6460126072500776,402,90,312,646,12
254999,0.646012723171106,407,111,296,646,12
279252,0.6460127328847616,361,95,266,646,12
280411,0.6460129018419835,363,83,280,646,12
294138,0.6460131852800409,371,77,294,646,12
251385,0.6460131855570062,405,99,306,646,12
273348,0.6460132567621077,372,83,289,646,12
299233,0.6460134701054843,407,90,317,646,12
