EventID,Edep_MeV,#PE,#NoisePE,SignalPE,fine_bin,merged_bin
357597,0.6312311522676178,329,68,261,631,35
357837,0.6313959814892621,378,88,290,631,35
367505,0.6315269952239694,352,89,263,631,35
383062,0.6315452213103299,360,105,255,631,35
385763,0.6315618298463352,368,89,279,631,35
370854,0.6315864882221727,355,83,272,631,35
382671,0.6315974241824074,372,79,293,631,35
356339,0.6315993743260649,364,85,279,631,35
398665,0.6317044056577552,351,83,268,631,35
369299,0.6317559825424235,365,95,270,631,35
380318,0.6318217042025482,366,81,285,631,35
359255,0.6318444302745132,331,85,246,631,35
365534,0.6318473721001372,315,85,230,631,35
378989,0.6318679987316086,366,101,265,631,35
367947,0.6318840516444489,354,71,283,631,35
363327,0.6319133843487954,413,121,292,631,35
394733,0.6319208479731546,364,98,266,631,35
398561,0.6319548291465468,351,76,275,631,35
306140,0.6320536619023751,383,77,306,632,35
375687,0.6321416638659394,401,103,298,632,35
394112,0.6323154197436419,356,70,286,632,35
375983,0.6323609543331986,346,77,269,632,35
376183,0.6323629482234072,388,92,296,632,35
372878,0.6324422518518966,380,71,309,632,35
387475,0.6324814388918173,330,83,247,632,35
394125,0.6325656560190035,381,93,288,632,35
390876,0.6325678779530282,325,53,272,632,35
373197,0.6326274602666693,361,91,270,632,35
392527,0.6326606952658662,393,106,287,632,35
386742,0.6326624074105357,367,81,286,632,35
388398,0.6327837216133475,367,88,279,632,35
361646,0.6327947983083594,428,119,309,632,35
354100,0.632868976392066,371,107,264,632,35
365000,0.6328959865038113,345,77,268,632,35
360078,0.6329001084386929,387,95,292,632,35
392153,0.6330271585033118,363,77,286,633,35
382711,0.6331905284496148,345,67,278,633,35
385461,0.6332320468241706,355,68,287,633,35
382930,0.6332382410479621,361,102,259,633,35
353459,0.633249554049588,378,84,294,633,35
365166,0.6332639764151563,379,92,287,633,35
393053,0.6332713123104835,351,75,276,633,35
392784,0.633455322513952,383,91,292,633,35
367937,0.6334650008881808,384,92,292,633,35
382679,0.6334700970558497,417,109,308,633,35
358966,0.6335323195379027,382,97,285,633,35
376410,0.6335456532524456,363,101,262,633,35
392642,0.6335486680163014,389,103,286,633,35
390163,0.6335847855670272,369,93,276,633,35
393341,0.6335997247632632,364,72,292,633,35
391210,0.6336375385697031,382,97,285,633,35
367350,0.6336628357578495,387,102,285,633,35
373435,0.6336751630496145,389,93,296,633,35
396018,0.6336847283839542,372,86,286,633,35
357258,0.6337259401140604,379,101,278,633,35
356017,0.6338739333528101,350,78,272,633,35
386386,0.6339136515380785,357,81,276,633,35
360342,0.6339336573906137,365,87,278,633,35
368574,0.6340308402963458,405,96,309,634,35
366321,0.6340491073869843,367,87,280,634,35
369292,0.6340607322263981,372,92,280,634,35
399612,0.6341147754012412,359,86,273,634,35
385869,0.6341779220017002,326,72,254,634,35
389361,0.6342468875999554,373,98,275,634,35
398323,0.6342585996079458,356,86,270,634,35
397652,0.634309862649963,346,91,255,634,35
355851,0.6343560864436812,446,115,331,634,35
354938,0.6343859217788989,343,101,242,634,35
339960,0.6345478108147586,436,118,318,634,35
354242,0.6345634655420972,377,108,269,634,35
356590,0.6345725369565386,345,87,258,634,35
396503,0.6346069231343939,384,86,298,634,35
353630,0.6346258387989354,323,85,238,634,35
376437,0.6348830136306747,387,114,273,634,35
388576,0.6349839399094976,402,101,301,634,35
379724,0.6350735509285813,397,99,298,635,35
353515,0.6351220163750764,361,82,279,635,35
377913,0.6351481804443125,365,74,291,635,35
388607,0.6352458298664371,369,74,295,635,35
359222,0.635265647250288,376,96,280,635,35
399867,0.6352889760558003,374,93,281,635,35
393058,0.6353061378575717,397,106,291,635,35
381174,0.6353922258787258,404,86,318,635,35
366729,0.6355588651917271,373,81,292,635,35
368820,0.6356095290214763,359,75,284,635,35
379072,0.6357654295931997,398,109,289,635,35
399680,0.63578095305196,340,68,272,635,35
369157,0.6357900769123586,321,67,254,635,35
352404,0.6357961575001381,352,100,252,635,35
369236,0.63580908804232,389,90,299,635,35
376668,0.6358300468056276,338,81,257,635,35
360870,0.6358911062404384,312,75,237,635,35
350791,0.6359007205443663,364,82,282,635,35
353919,0.6359452608541044,356,83,273,635,35
391891,0.636007777316114,391,95,296,636,35
327112,0.6360108140176777,362,91,271,636,35
396535,0.6361883526300063,382,94,288,636,35
397935,0.6362808967773053,361,83,278,636,35
390451,0.6364024353817623,402,97,305,636,35
386715,0.6364316055440759,381,84,297,636,35
368994,0.6365310610744502,350,100,250,636,35
368560,0.6365678134649039,351,80,271,636,35
397977,0.6366345018281774,388,97,291,636,35
364808,0.6366755778985387,377,110,267,636,35
363091,0.6367099320416344,398,104,294,636,35
387637,0.6367685833323125,353,74,279,636,35
378375,0.6368341975811954,355,73,282,636,35
352671,0.6369896570078238,365,80,285,636,35
397594,0.6372767697121021,361,99,262,637,35
366316,0.6373679698503197,396,109,287,637,35
351373,0.6374181805434763,381,78,303,637,35
270991,0.6374227385090581,369,82,287,637,35
356944,0.6374378228816536,374,89,285,637,35
397633,0.6374616277864391,384,91,293,637,35
360750,0.6374675613419214,355,81,274,637,35
383663,0.6375362392304809,385,112,273,637,35
362189,0.6375550125572157,383,81,302,637,35
395419,0.6375864858780874,340,76,264,637,35
374712,0.6376178514433657,347,73,274,637,35
350863,0.6376741018018401,328,72,256,637,35
353234,0.6376989918757514,348,84,264,637,35
352336,0.6378009220272247,369,79,290,637,35
377771,0.6378056006493869,354,100,254,637,35
333560,0.6379390322162426,381,88,293,637,35
357692,0.6379589476696149,370,100,270,637,35
397470,0.6379968242529942,384,96,288,637,35
305607,0.6380068599813928,376,84,292,638,35
371885,0.6380182879575652,353,73,280,638,35
359073,0.638056365723954,377,102,275,638,35
378887,0.6381071729436553,387,99,288,638,35
382917,0.6381790714342093,366,84,282,638,35
387445,0.6382312803172039,389,120,269,638,35
356250,0.6382345037512954,371,97,274,638,35
394037,0.6383098793071307,371,83,288,638,35
361209,0.6383825296062622,396,100,296,638,35
379410,0.6384584770171883,408,120,288,638,35
394321,0.638555026075346,329,81,248,638,35
371546,0.6386617422049989,326,78,248,638,35
352302,0.6388668244314342,405,94,311,638,35
374102,0.6388933756924782,368,81,287,638,35
