EventID,Edep_MeV,#PE,#NoisePE,SignalPE,fine_bin,merged_bin
246718,0.050009166098807435,23,6,17,50,5
211300,0.050015833016621984,35,7,28,50,5
291625,0.05001817253500619,24,6,18,50,5
14888,0.05002149865161357,43,10,33,50,5
358137,0.05002483222549536,27,5,22,50,5
1652,0.05002828548425136,28,6,22,50,5
198273,0.05002832229558097,28,4,24,50,5
177859,0.05003428490422557,25,4,21,50,5
132090,0.05003939069568367,30,7,23,50,5
352992,0.05004986151430141,27,11,16,50,5
314877,0.050050606458075034,30,12,18,50,5
286078,0.050058302238823606,39,13,26,50,5
321051,0.05005976868848131,24,5,19,50,5
218546,0.05006467374398138,37,13,24,50,5
234527,0.0500654976326871,35,15,20,50,5
149899,0.050071862560595586,27,5,22,50,5
139330,0.05007217751324338,30,11,19,50,5
157161,0.0500847031989324,16,1,15,50,5
354311,0.05008768272743586,26,3,23,50,5
326322,0.050088164282143535,33,10,23,50,5
266188,0.05009512959278826,16,2,14,50,5
339167,0.05009658605607579,25,5,20,50,5
105601,0.05010020506068411,22,5,17,50,5
256134,0.0501024268311283,27,7,20,50,5
384062,0.050106079237112806,31,7,24,50,5
203145,0.05011128838574092,29,8,21,50,5
103954,0.05011566071000056,28,8,20,50,5
295385,0.0501175270473251,40,13,27,50,5
393029,0.050141969342078714,23,6,17,50,5
346020,0.0501523765701397,24,7,17,50,5
194225,0.05016065781360812,31,12,19,50,5
36347,0.050165907197099,34,12,22,50,5
187008,0.050168128670176414,30,2,28,50,5
337452,0.05016884525954223,17,3,14,50,5
304033,0.05017227798811093,20,6,14,50,5
25257,0.05018049027674606,40,9,31,50,5
287793,0.05019151153052597,24,5,19,50,5
302421,0.05019593374316678,28,5,23,50,5
304170,0.05019667040099156,42,15,27,50,5
130044,0.05019720046829398,25,1,24,50,5
35036,0.0502129673547491,34,9,25,50,5
49461,0.05021405880121319,35,11,24,50,5
207237,0.05022085162734925,30,7,23,50,5
8052,0.05022961455644887,24,5,19,50,5
156051,0.05022974964732376,31,9,22,50,5
207077,0.05023028469259724,21,5,16,50,5
138730,0.05023089783275097,33,5,28,50,5
389825,0.05023254063112095,27,6,21,50,5
43730,0.05023430891027584,37,9,28,50,5
247403,0.050237587792071534,40,9,31,50,5
261943,0.050241063086508775,40,14,26,50,5
158772,0.05024179866130031,26,4,22,50,5
180971,0.050243358794392845,31,9,22,50,5
45569,0.05024378407705934,38,12,26,50,5
31203,0.0502513518444204,31,11,20,50,5
282638,0.05025237738922788,22,4,18,50,5
129821,0.05025269792721005,17,3,14,50,5
335157,0.05026271525354379,30,7,23,50,5
110,0.05026334186070772,28,9,19,50,5
5610,0.05026441120605336,38,9,29,50,5
4674,0.050265025692603466,33,17,16,50,5
17,0.05026766169007779,28,6,22,50,5
23276,0.0502709518083924,24,3,21,50,5
30051,0.05027204150890143,20,5,15,50,5
4131,0.05027532483657697,31,8,23,50,5
266311,0.05027804075007491,21,3,18,50,5
40950,0.05028091525431943,25,8,17,50,5
24713,0.05028294619162359,19,1,18,50,5
123847,0.050284768121012575,29,6,23,50,5
40769,0.05028600207573092,21,5,16,50,5
155848,0.050286149597480824,37,10,27,50,5
