EventID,Edep_MeV,FirstTime_ns
1,1.274550786721995,0.0
6,1.2745440147603107,0.0
9,1.27454827393799,0.0
13,1.7288348499517503,0.0
14,1.2745315098436512,0.0
15,1.233630149690861,0.0
20,1.2745372542659994,0.0
32,1.0275829248528985,0.0
33,1.040661075703814,0.0
37,1.0493103593253192,0.0
38,1.2745113733805145,0.0
50,1.2745482378358204,0.0
57,1.274540002137899,0.0
61,1.2745432344735932,0.0
67,1.2745438960599287,0.0
69,1.1211414287289616,0.0
74,1.2745366568998282,0.0
76,1.2745440643135244,0.0
86,1.2745469509466074,0.0
91,1.1331592333331932,0.0
93,1.2745422560024966,0.0
95,1.2131145110917043,0.0
103,1.2745808183747236,0.0
104,1.0673498539102508,0.0
105,1.2203461721800146,0.0
106,1.274539721349379,0.0
121,1.2745493022205967,0.0
122,1.2745455091504037,0.0
126,1.2745055587920882,0.0
131,1.1473228028879632,0.0
133,1.2745488270179455,0.0
140,1.1035047612492503,0.0
147,1.2745018540008266,0.0
153,1.2745475471655896,0.0
156,1.2745491817829326,0.0
159,1.2745035708802575,0.0
167,1.148387484944139,0.0
173,1.2745085413682833,0.0
176,1.2203342608084142,0.0
179,1.2745337939426176,0.0
196,1.0311118582638001,0.0
199,1.2745497096975207,0.0
213,1.274542574500887,0.0
215,1.0511405036352997,0.0
216,1.2745764576492344,0.0
219,1.2745429677278597,0.0
222,1.2745363542284445,0.0
223,1.2745950097298737,0.0
226,1.2745414719007113,0.0
231,1.2745448497546912,0.0
239,1.0048249908838573,0.0
249,1.2203429002229618,0.0
250,1.2745289530408281,0.0
258,1.113038449333697,0.0
259,1.0335277054965488,0.0
263,1.2635269030743819,0.0
288,1.274525856721097,0.0
290,1.0435420908703277,0.0
294,1.0485991047890915,0.0
297,1.2203475630953282,0.0
298,1.0793152499235203,0.0
299,1.2745295730093318,0.0
310,1.2745669293344881,0.0
318,1.2745438738685018,0.0
320,1.001220362549909,0.0
323,1.2745466689327025,0.0
334,1.274591399627996,0.0
342,1.0009821079496293,0.0
343,1.2745418665298494,0.0
348,1.2745381542968277,0.0
353,1.2745153063377264,0.0
363,1.2745354368337898,0.0
376,1.2745506245854732,0.0
393,1.097331515202499,0.0
396,1.2745684389927119,0.0
412,1.274539027517365,0.0
417,1.2745342514341458,0.0
421,1.2214654765106894,0.0
423,1.274540475624129,0.0
427,1.274553580209693,0.0
429,1.2745338692346866,0.0
432,1.2745184016192148,0.0
440,1.2745280525462668,0.0
441,1.2744990467524828,0.0
445,1.2745442086258743,0.0
448,1.1621063475118534,0.0
450,1.2745520976952502,0.0
453,1.0161335568267056,0.0
470,1.2745316606802468,0.0
474,1.27453270498048,0.0
477,1.2745462297877657,0.0
479,1.274520002737927,0.0
486,1.065096603897318,0.0
492,1.274546945204893,0.0
493,1.274581486320187,0.0
500,1.2745156010574108,0.0
503,1.274581911014509,0.0
511,1.2628856789774818,0.0
516,1.1528466029972055,0.0
520,1.0866172075404605,0.0
526,1.2745504754214976,0.0
536,1.2745357093610656,0.0
546,1.2745613622731615,0.0
547,1.2745293046945236,0.0
551,1.2745322788784068,0.0
564,1.0795833055096198,0.0
586,1.0946266460908476,0.0
588,1.2745463771667838,0.0
601,1.27454180483833,0.0
602,1.0279571939332084,0.0
605,1.0304986048415177,0.0
613,1.0234804650822036,0.0
619,1.274553599011397,0.0
622,1.2745183265422595,0.0
630,1.025613638980253,0.0
632,1.274530348644545,0.0
639,1.2745322655431233,0.0
640,1.274499629443901,0.0
661,1.2745489347488308,0.0
663,1.274535249941354,0.0
668,1.2745500718066014,0.0
682,1.2744988833874402,0.0
687,1.2745400809567102,0.0
693,1.2745395487958142,0.0
696,1.274507040755135,0.0
703,1.451009751069466,0.0
711,1.0437693306044613,0.0
712,1.2745383513617552,0.0
714,1.274529424010471,0.0
715,1.274501744176215,0.0
721,1.2745598049548177,0.0
722,1.2745261939856287,0.0
732,1.2745483821600017,0.0
733,1.2745407293907194,0.0
742,1.274549207384544,0.0
747,1.2745251905821962,0.0
753,1.2745447634867402,0.0
757,1.274539430797475,0.0
776,1.2745795855541118,0.0
785,1.2745490390781888,0.0
787,1.274539131637132,0.0
791,1.274509080033909,0.0
792,1.0449123321231444,0.0
795,1.274504222565688,0.0
796,1.2745428436263466,0.0
801,1.274551622413089,0.0
806,1.2745318207947445,0.0
818,1.2745263684640151,0.0
840,1.1657754369247326,0.0
851,1.2203422274127123,0.0
853,1.2745416369239604,0.0
856,1.2745205117503027,0.0
857,1.2745645712681857,0.0
858,1.2745442598032284,0.0
860,1.002346415177504,0.0
867,1.030077316569893,0.0
878,1.2745144134689588,0.0
879,1.2745811751171696,0.0
881,1.2745519801794944,0.0
886,1.0219981500616777,0.0
888,1.2745442268244158,0.0
890,1.1600152676099595,0.0
895,1.0290195755967042,0.0
908,1.2745273471401255,0.0
919,1.022050460196799,0.0
922,1.2744981727952007,0.0
923,1.0293035455378268,0.0
925,1.2745193876228296,0.0
934,1.1869903286989045,0.0
942,1.2745394777775498,0.0
949,1.2745384046266592,0.0
954,1.0542158741039198,0.0
957,1.0850192206864353,0.0
958,1.274596175093532,0.0
961,1.2745382256547229,0.0
969,1.274561055268078,0.0
975,1.2745467455651207,0.0
977,1.274541100177984,0.0
978,1.2745267062329804,0.0
981,1.2745447354403385,0.0
994,1.274552084176833,0.0
996,1.0204093014162858,0.0
998,1.274549083171317,0.0
999,1.2745366748579066,0.0
1006,1.2745368452629287,0.0
1008,1.2745470246743948,0.0
1012,1.274535632702874,0.0
1035,1.274532917009841,0.0
1036,1.274547514923735,0.0
1039,1.2745825686633918,0.0
1041,1.2745417712978901,0.0
1056,1.201116187760288,0.0
1060,1.0551818188993753,0.0
1084,1.2745423292023215,0.0
1090,1.2745454038262483,0.0
1093,1.2745390925922162,0.0
1094,1.2745379367323182,0.0
1095,1.2745536418724033,0.0
1102,1.0268728471559667,0.0
1104,1.274542943042304,0.0
1106,1.2745331380114044,0.0
1112,1.274520485324094,0.0
1115,1.051831230390257,0.0
1118,1.2745274641908377,0.0
1119,1.2745470930832365,0.0
1123,1.2745001666645952,0.0
1127,1.121055326185365,0.0
1131,1.2745348261022702,0.0
1147,1.097061174418788,0.0
1148,1.2745417909921215,0.0
1156,1.070962075816581,0.0
1159,1.0094963867967184,0.0
1180,1.2745359058924428,0.0
1183,1.0593107097375638,0.0
1185,1.2553421737289558,0.0
1196,1.2745260393499704,0.0
1198,1.2745511233367957,0.0
1199,1.2745453624833594,0.0
