EventID,Edep_MeV,Energy_keV,#PE,#NoisePE,SignalPE
350,0.04175984850470808,100,22,3,19
351,0.10783413286804042,100,82,23,59
352,0.10745818290695704,100,63,21,42
353,0.10761322696800157,100,71,17,54
354,0.10761426589091441,100,56,13,43
355,0.10773071126348288,100,49,14,35
356,0.10771045906787856,100,64,16,48
357,0.049300938677924365,100,36,11,25
358,0.10753287611262254,100,64,17,47
359,0.10742420481077752,100,60,18,42
360,0.10772391162457334,100,70,24,46
361,0.10762118819474768,100,67,20,47
362,0.10774950679880911,100,65,19,46
363,0.10752371068288807,100,44,7,37
364,0.04954818196721814,100,34,11,23
365,0.10766516196118113,100,56,11,45
366,0.049295977748552045,100,34,11,23
367,0.10745788375888951,100,45,8,37
368,0.10773374282927466,100,63,14,49
369,0.04928777940137641,100,27,9,18
370,0.10750353225227693,100,59,17,42
371,0.10776435138684413,100,79,21,58
372,0.10744426977991114,100,71,19,52
373,0.10731168584753067,100,59,14,45
374,0.10753176487947719,100,52,9,43
375,0.10741230992257497,100,57,10,47
376,0.10759761662695864,100,55,15,40
377,0.022618022197231212,100,19,5,14
378,0.1074243079482954,100,55,9,46
379,0.1075380826867118,100,72,21,51
380,0.10765114099987826,100,68,23,45
381,0.10766076570357885,100,54,15,39
382,0.10751165357920722,100,60,8,52
383,0.10748363222498958,100,75,15,60
384,0.10763055921936909,100,58,17,41
385,0.10773277190817164,100,67,19,48
386,0.10752290470432846,100,72,15,57
387,0.1077063355597534,100,64,12,52
388,0.04935985801408549,100,27,4,23
389,0.10767111097802445,100,70,23,47
390,0.10752282484634842,100,51,6,45
391,0.10779196255332246,100,87,34,53
392,0.10729910100780302,100,53,15,38
393,0.10754016831175738,100,56,10,46
394,0.10751631356874584,100,74,13,61
395,0.04137674080510286,100,31,5,26
396,0.10768147810310649,100,79,25,54
397,0.10743265823939983,100,53,11,42
398,0.04934302742836044,100,29,9,20
399,0.10767757713474858,100,93,34,59
400,0.10778037751179906,100,51,12,39
401,0.1075092048186014,100,60,14,46
402,0.10736766731404455,100,74,21,53
403,0.10780596544457259,100,67,20,47
404,0.04937800249511862,100,40,15,25
405,0.10753434476051897,100,88,23,65
406,0.107564652010582,100,64,17,47
407,0.10746342073984821,100,76,25,51
408,0.10772157907588673,100,65,27,38
409,0.05053676946576906,100,28,6,22
410,0.10773413000397558,100,61,17,44
411,0.04144477365719715,100,29,10,19
412,0.10756688811879325,100,50,14,36
413,0.10775141611798857,100,73,24,49
414,0.10779144902746723,100,64,17,47
415,0.1075683588854776,100,49,10,39
416,0.10768442504910383,100,48,9,39
417,0.10769092022954652,100,73,16,57
418,0.10777684673970384,100,59,16,43
419,0.10755335138048142,100,66,21,45
840,0.10754498514479276,100,55,16,39
841,0.10757819462890822,100,65,14,51
842,0.10760233778929096,100,67,16,51
843,0.10788972889538614,100,92,30,62
844,0.10781701125628838,100,40,5,35
845,0.10756748141575742,100,61,14,47
846,0.10778789464798375,100,60,16,44
847,0.050482622001101304,100,34,11,23
848,0.10762037435112569,100,72,11,61
849,0.1078605559047559,100,56,12,44
850,0.1077083870764375,100,73,20,53
851,0.03965477376819576,100,22,4,18
852,0.10756226954451643,100,83,27,56
853,0.107576069886459,100,73,21,52
854,0.10757220370737905,100,48,11,37
855,0.10742915836854192,100,59,17,42
856,0.10768416949507652,100,68,15,53
857,0.10755520923134639,100,63,18,45
858,0.049317699520582715,100,31,9,22
859,0.10755623672356528,100,67,13,54
860,0.10742349020953325,100,65,13,52
861,0.10743259756764087,100,62,15,47
862,0.10768353961145749,100,58,13,45
863,0.10782443838684286,100,60,19,41
864,0.1075831641012231,100,56,9,47
865,0.1076151532202739,100,60,20,40
866,0.10745277981380312,100,72,20,52
867,0.10771094885874499,100,79,22,57
868,0.10758942596652352,100,71,19,52
869,0.10760736755716852,100,59,10,49
870,0.049153333780593014,100,30,7,23
871,0.049265551732441716,100,43,12,31
872,0.10762096020246151,100,79,32,47
873,0.10764508832089356,100,68,18,50
874,0.10761308514486856,100,58,10,48
875,0.10750893207554466,100,67,16,51
876,0.04930973099669072,100,16,2,14
877,0.049264651945298533,100,26,11,15
878,0.10735138678679751,100,64,13,51
879,0.10758563020818179,100,60,12,48
880,0.10735010950708904,100,50,9,41
881,0.1075798616967534,100,64,14,50
882,0.10761145114623463,100,88,35,53
883,0.05246002632717262,100,22,2,20
884,0.10748691224641366,100,71,19,52
885,0.10764036399301884,100,73,15,58
886,0.10737518898147667,100,78,21,57
887,0.10761918314178523,100,65,18,47
888,0.10757075815656095,100,68,18,50
889,0.1077778130419461,100,39,13,26
890,0.10747227627389262,100,58,16,42
891,0.006728023061652445,100,9,4,5
892,0.04192036871393977,100,33,14,19
893,0.10775980248319864,100,81,23,58
894,0.04165864823954531,100,21,5,16
895,0.10765585871117551,100,47,10,37
896,0.10776393480664902,100,87,33,54
897,0.10769157945716047,100,39,6,33
898,0.10766215197645712,100,52,17,35
899,0.10752490771885582,100,52,9,43
900,0.10754680068896873,100,80,27,53
901,0.10779439628497607,100,62,9,53
902,0.10754212294561484,100,63,17,46
903,0.10767096196561239,100,74,21,53
904,0.0396008965235822,100,18,1,17
905,0.10760277836907299,100,58,14,44
906,0.10748999733847849,100,75,24,51
907,0.10727996443046152,100,60,14,46
908,0.10767007525927574,100,70,15,55
909,0.10754696308459519,100,66,18,48
1540,0.10745843770516642,100,69,13,56
1541,0.10777078021595289,100,72,15,57
1542,0.10747876486435749,100,59,18,41
1543,0.10749974699141424,100,74,14,60
1544,0.10757108933251606,100,68,21,47
1545,0.10740386796649168,100,63,14,49
1546,0.10749643614975966,100,57,14,43
1547,0.04924188897223851,100,27,3,24
1548,0.10755616324276515,100,61,15,46
1549,0.1074359622194656,100,60,13,47
1550,0.10729587023698199,100,58,17,41
1551,0.10754573845432057,100,63,15,48
1552,0.10747329477215598,100,76,17,59
1553,0.10781472391363636,100,46,7,39
1554,0.10763962229775403,100,64,16,48
1555,0.10779384862007448,100,75,21,54
1556,0.049247727905651996,100,33,7,26
1557,0.10750736013775848,100,59,9,50
1558,0.10765168916514281,100,70,9,61
1559,0.10759542038563337,100,49,11,38
1560,0.10767937727075705,100,64,16,48
1561,0.10761920351311673,100,56,10,46
1562,0.1076920497973923,100,63,18,45
1563,0.1074391634720401,100,63,23,40
1564,0.10771342290389661,100,67,17,50
