371.62401, 166.04622
374.98088, 193.01819
378.33774, 246.96214
381.6946, 408.79399
382.25408, 570.62583
383.93251, 732.45768
384.49199, 894.28953
385.61094, 1056.12137
386.17042, 1217.95322
386.17042, 1379.78507
386.7299, 1541.61691
387.28938, 1703.44876
387.84885, 1865.28061
388.40833, 2027.11245
388.40833, 2188.9443
388.96781, 2350.77615
388.96781, 2512.60799
389.52729, 2674.43984
389.52729, 2836.27169
390.08676, 2998.10353
390.08676, 3159.93538
390.64624, 3321.76723
390.64624, 3483.59907
391.20572, 3645.43092
391.20572, 3807.26277
391.20572, 3969.09461
391.76519, 4130.92646
391.76519, 4292.75831
392.32467, 4454.59015
392.32467, 4616.422
392.32467, 4778.25385
392.88415, 4940.08569
392.88415, 5101.91754
392.88415, 5263.74939
393.44363, 5425.58123
393.44363, 5587.41308
393.44363, 5749.24493
394.0031, 5911.07677
394.0031, 6072.90862
394.0031, 6234.74046
394.56258, 6396.57231
394.56258, 6558.40416
394.56258, 6720.236
395.12206, 6882.06785
395.12206, 7043.8997
395.68154, 7205.73154
395.68154, 7367.56339
396.24101, 7529.39524
396.24101, 7691.22708
396.80049, 7853.05893
396.80049, 8014.89078
396.80049, 8176.72262
397.35997, 8338.55447
397.35997, 8500.38632
397.91944, 8662.21816
397.91944, 8824.05001
398.47892, 8985.88186
398.47892, 9147.7137
399.59788, 9309.54555
401.27631, 9471.3774
404.07369, 9309.54555
405.19265, 9147.7137
406.87108, 8985.88186
410.22794, 9066.79778
410.22794, 9228.62963
410.78742, 9390.46147
411.90637, 9552.29332
412.46585, 9714.12517
413.02533, 9875.95701
413.58481, 10037.78886
414.14428, 10199.62071
414.14428, 10361.45255
414.70376, 10523.2844
415.26324, 10685.11625
415.26324, 10846.94809
415.82272, 11008.77994
416.94167, 11170.61179
417.50115, 11332.44363
418.06062, 11494.27548
418.6201, 11656.10733
418.6201, 11817.93917
419.17958, 11979.77102
420.85801, 12141.60287
423.09592, 11979.77102
424.21487, 11817.93917
425.33383, 11656.10733
425.89331, 11494.27548
425.89331, 11332.44363
426.45278, 11170.61179
426.45278, 11008.77994
427.01226, 10846.94809
427.57174, 10685.11625
428.69069, 10523.2844
428.69069, 10361.45255
429.25017, 10199.62071
429.25017, 10037.78886
429.80965, 9875.95701
430.36912, 9714.12517
430.36912, 9552.29332
430.9286, 9390.46147
430.9286, 9228.62963
431.48808, 9066.79778
432.04756, 8904.96593
432.60703, 8743.13409
433.72599, 8581.30224
434.28546, 8419.47039
434.84494, 8257.63855
434.84494, 8095.8067
435.40442, 7933.97485
436.52337, 7772.14301
437.08285, 7610.31116
438.20181, 7448.47931
438.76128, 7286.64747
439.88024, 7124.81562
441.55867, 6962.98377
444.91553, 6801.15193
447.71292, 6639.32008
448.83187, 6477.48823
449.39135, 6315.65639
449.39135, 6153.82454
451.06978, 5991.9927
452.74821, 5830.16085
453.86717, 5668.329
454.42665, 5506.49716
455.5456, 5344.66531
456.66455, 5182.83346
457.22403, 5021.00162
457.78351, 4859.16977
458.90246, 4697.33792
459.46194, 4535.50608
460.02142, 4373.67423
460.58089, 4211.84238
461.69985, 4050.01054
462.25933, 3888.17869
463.37828, 3726.34684
463.93776, 3564.515
465.61619, 3402.68315
467.29462, 3240.8513
467.8541, 3079.01946
468.41358, 2917.18761
470.09201, 2755.35576
470.65149, 2593.52392
472.88939, 2431.69207
476.24626, 2269.86022
479.04364, 2108.02838
481.84103, 1946.19653
484.07894, 1784.36468
487.4358, 1622.53284
489.67371, 1460.70099
492.4711, 1298.86914
494.14953, 1137.0373
497.50639, 1029.1494
499.7443, 867.31755
503.10116, 786.40163
506.45803, 678.51373
509.81489, 570.62583
513.17176, 489.70991
516.52862, 435.76596
519.88548, 408.79399
523.24235, 354.85004
526.59921, 300.90609
529.95607, 273.93412
533.31294, 219.99017
536.6698, 219.99017
540.02666, 166.04622
543.38353, 166.04622
546.74039, 166.04622
550.09725, 166.04622
553.45412, 166.04622
556.81098, 166.04622
560.16784, 166.04622
563.52471, 139.07424
566.88157, 139.07424
360.99395, 166.04622
369.94558, 166.04622
580.30902, 112.10227
576.95216, 139.07424
573.5953, 139.07424
228.39784, 112.10227
283.78609, 139.07424
287.14295, 112.10227
290.49981, 112.10227
307.84361, 112.10227
330.2227, 112.10227
338.05538, 139.07424
340.85277, 139.07424
348.68545, 139.07424
363.23186, 139.07424
585.34432, 139.07424
587.58223, 85.13029
590.93909, 112.10227
594.29595, 85.13029
608.84236, 139.07424
203.78084, 85.13029
207.13771, 112.10227
210.49457, 112.10227
213.85143, 112.10227
216.64882, 112.10227
217.76777, 112.10227
233.99261, 85.13029
240.14686, 112.10227
243.50373, 112.10227
250.77693, 112.10227
256.3717, 85.13029
265.32334, 85.13029
268.6802, 85.13029
272.03707, 112.10227
275.39393, 112.10227
300.01093, 112.10227
296.65406, 85.13029
331.90113, 112.10227
597.09334, 112.10227
600.4502, 85.13029
616.11557, 112.10227
617.794, 112.10227
622.26982, 112.10227
625.62668, 112.10227
633.45936, 112.10227
220.00568, 85.13029
303.36779, 85.13029
311.75995, 58.15832
315.11681, 85.13029
319.59263, 85.13029
322.94949, 85.13029
639.61361, 85.13029
646.88682, 85.13029
354.8397, 58.15832
366.02924, 58.15832
338.61486, 4.21437
350.36388, 4.21437
236.23052, -22.7576
324.06845, -22.7576
420.85801, 12303.43471
424.21487, 12141.60287
410.22794, 8904.96593
407.99003, 8824.05001
444.91553, 6962.98377
441.55867, 6801.15193
484.63842, 1622.53284
259.72857, 112.10227
293.2972, 112.10227
