Wavelength,Normalized_Yield
203.78084,0.00011668074872666013
207.13771,0.00015364891623837073
210.49457,0.00015364891623837073
213.85143,0.00015364891623837073
216.64882,0.00015364891623837073
217.76777,0.00015364891623837073
220.00568,0.00011668074872666013
228.39784,0.00015364891623837073
233.99261,0.00011668074872666013
236.23052,-3.1191880201768846e-05
240.14686,0.00015364891623837073
243.50373,0.00015364891623837073
250.77693,0.00015364891623837073
256.3717,0.00011668074872666013
259.72857,0.00015364891623837073
265.32334,0.00011668074872666013
268.6802,0.00011668074872666013
272.03707,0.00015364891623837073
275.39393,0.00015364891623837073
283.78609,0.0001906170700439435
287.14295,0.00015364891623837073
290.49981,0.00015364891623837073
293.2972,0.00015364891623837073
296.65406,0.00011668074872666013
300.01093,0.00015364891623837073
303.36779,0.00011668074872666013
307.84361,0.00015364891623837073
311.75995,7.971259492108734e-05
315.11681,0.00011668074872666013
319.59263,0.00011668074872666013
322.94949,0.00011668074872666013
324.06845,-3.1191880201768846e-05
330.2227,0.00015364891623837073
331.90113,0.00015364891623837073
338.05538,0.0001906170700439435
338.61486,5.776273603803941e-06
340.85277,0.0001906170700439435
348.68545,0.0001906170700439435
350.36388,5.776273603803941e-06
354.8397,7.971259492108734e-05
360.99395,0.00022758523755565414
363.23186,0.0001906170700439435
366.02924,7.971259492108734e-05
369.94558,0.00022758523755565414
374.98088,0.0002645533913612269
378.33774,0.0003384897126785103
381.6946,0.0005602986766303604
382.25408,0.0007821076268760727
383.93251,0.001003916590827923
384.49199,0.0012257255547797731
385.61094,0.0014475345050254857
386.17042,0.001669343468977336
386.17042,0.0018911524329291859
386.7299,0.002112961383174898
387.28938,0.0023347703471267483
387.84885,0.002556579311078599
388.40833,0.0030001972252761615
388.40833,0.0027783882613243113
388.96781,0.0032220061892280116
388.96781,0.0034438151394737236
389.52729,0.003665624103425574
389.52729,0.003887433067377424
390.08676,0.004109242017623136
390.08676,0.004331050981574987
390.64624,0.004774668895772549
390.64624,0.004552859945526837
391.20572,0.005440095773921962
391.20572,0.004996477859724399
391.20572,0.0052182868236762495
391.76519,0.005661904737873811
391.76519,0.005883713701825662
392.32467,0.006105522652071375
392.32467,0.006327331616023224
392.32467,0.006549140579975075
392.88415,0.0067709495302207875
392.88415,0.006992758494172638
392.88415,0.007214567458124488
393.44363,0.007436376408370199
393.44363,0.0076581853723220504
393.44363,0.0078799943362739
394.0031,0.008101803286519613
394.0031,0.008323612250471462
394.0031,0.008545421200717175
394.56258,0.009210848078866588
394.56258,0.008767230164669024
394.56258,0.008989039128620875
395.12206,0.009654466006770288
395.12206,0.009432657042818439
395.68154,0.009876274957016
395.68154,0.010098083920967851
396.24101,0.0103198928849197
396.24101,0.010541701835165413
396.80049,0.010763510799117264
396.80049,0.010985319763069113
396.80049,0.011207128713314826
397.35997,0.011428937677266675
397.35997,0.011650746641218526
397.91944,0.011872555591464239
397.91944,0.01209436455541609
398.47892,0.012537982469613651
398.47892,0.012316173519367939
399.59788,0.012759791433565502
401.27631,0.012981600397517352
404.07369,0.012759791433565502
405.19265,0.012537982469613651
406.87108,0.012316173519367939
407.99003,0.01209436455541609
410.22794,0.012205269030538946
410.22794,0.012427077994490797
410.22794,0.012648886958442645
410.78742,0.012870695908688359
411.90637,0.01309250487264021
412.46585,0.013314313836592057
413.02533,0.013536122786837771
413.58481,0.013757931750789622
414.14428,0.01397974071474147
414.14428,0.014201549664987184
414.70376,0.014423358628939034
415.26324,0.014645167592890883
415.26324,0.014866976543136595
415.82272,0.015088785507088446
416.94167,0.015310594471040297
417.50115,0.015532403421286008
418.06062,0.01575421238523786
418.6201,0.01619783029943542
418.6201,0.015976021349189712
419.17958,0.016419639263387274
420.85801,0.016863257177584835
420.85801,0.016641448227339123
423.09592,0.016419639263387274
424.21487,0.016641448227339123
424.21487,0.01619783029943542
425.33383,0.015976021349189712
425.89331,0.015532403421286008
425.89331,0.01575421238523786
426.45278,0.015088785507088446
426.45278,0.015310594471040297
427.01226,0.014866976543136595
427.57174,0.014645167592890883
428.69069,0.014423358628939034
428.69069,0.014201549664987184
429.25017,0.01397974071474147
429.25017,0.013757931750789622
429.80965,0.013536122786837771
430.36912,0.013314313836592057
430.36912,0.01309250487264021
430.9286,0.012870695908688359
430.9286,0.012648886958442645
431.48808,0.012427077994490797
432.04756,0.012205269030538946
432.60703,0.011983460080293232
433.72599,0.011761651116341384
434.28546,0.011539842152389533
434.84494,0.01109622423819197
434.84494,0.011318033202143819
435.40442,0.010874415274240119
436.52337,0.010652606323994408
437.08285,0.010430797360042557
438.20181,0.010208988396090708
438.76128,0.009987179445844995
439.88024,0.009765370481893146
441.55867,0.009543561517941295
441.55867,0.009321752567695582
444.91553,0.009321752567695582
444.91553,0.009543561517941295
447.71292,0.009099943603743733
448.83187,0.008878134639791882
449.39135,0.00865632568954617
449.39135,0.008434516725594319
451.06978,0.008212707775348606
452.74821,0.007990898811396757
