x, y
54.03224313442693, 105.19480588621626
110.25641504784974, 102.51622952593931
130.2808304438044, 88.14934657650731
140.04884413949077, 73.5389633400635
150.3052458397591, 62.33765732493208
160.07324618786402, 54.30194820859588
170.3296612357138, 45.048697728211316
180.3418689336911, 34.82141948045331
190.10989597695888, 28.246752015177286
200.12210367493623, 23.620126774984975
210.3784920276231, 19.237015131467647
220.39072642076326, 16.31493182934731
230.4029341187406, 13.87986241091369
240.41514181671798, 13.87986241091369
273.1379656737579, 6.574667465276046
280.2197652587549, 6.331167178264206
293.16238106971264, 6.0876535815893025
