Edep_bin_keV,PE_count,PE_mean,PE_std,SignalPE_count,SignalPE_mean,SignalPE_std,PE_resolution,SignalPE_resolution
1.0,195,2.2512820512820513,1.6817504066734412,195,0.9538461538461539,0.7617959497088858,0.7470189733515286,0.7986570440496382
3.0,383,3.206266318537859,2.345043207739733,383,1.443864229765013,1.2048582729756974,0.7313937691891839,0.8344678454786475
5.0,421,4.0997624703087885,2.588348423704377,421,2.2541567695961997,1.452260328274191,0.6313410697448103,0.6442587968423966
7.0,397,5.425692695214106,3.182598651739261,397,3.1612090680100757,1.7821240729058956,0.5865792315415443,0.5637476150945343
9.0,400,6.4475,3.264027948121046,400,4.0875,2.0774101261138114,0.5062470644623569,0.5082348932388528
11.0,400,7.505,3.7463399013759533,400,4.765,2.258878334112043,0.4991792007163162,0.4740563135597153
13.0,422,8.914691943127963,3.842174052384737,422,5.798578199052133,2.395502093031514,0.43099347424411455,0.4131188734202284
15.0,383,9.806788511749348,3.9657243351342593,383,6.595300261096606,2.4751495488532433,0.4043856284229023,0.3752898959662677
17.0,388,10.832474226804123,4.0411676187518175,388,7.530927835051546,2.6170919350166417,0.37306044160735313,0.34751254989269575
19.0,417,12.06714628297362,4.348994110069045,417,8.39568345323741,2.8180872836054625,0.36039955164920345,0.33565906805583484
21.0,397,12.967254408060453,4.838965972717011,397,9.171284634760704,3.2358287171851794,0.37316812182763276,0.35282175246430003
23.0,434,14.638248847926267,5.094534740710466,434,10.182027649769585,3.19591967618101,0.3480289748887679,0.3138785108537131
25.0,407,15.761670761670763,4.967352047544199,407,11.002457002457003,3.2021381184375244,0.31515390231496315,0.2910384578392301
27.0,405,16.62469135802469,5.325297622515169,405,11.698765432098766,3.4444852547353473,0.3203246007899367,0.2944315171312401
29.0,405,17.965432098765433,5.531976364598104,405,12.587654320987655,3.538381584375249,0.30792336828782735,0.28109936086150955
31.0,376,18.944148936170212,5.6032912061060625,376,13.39627659574468,3.723781156202761,0.2957795161443043,0.2779713549200394
33.0,364,20.178571428571427,5.8886342542697365,364,14.502747252747254,3.7961112669901858,0.2918261223354914,0.26175118416071746
35.0,386,21.497409326424872,6.14383809338519,386,15.580310880829016,4.096248002173436,0.28579434852334096,0.2629118272096685
37.0,346,23.19364161849711,6.533309526330634,346,16.65028901734104,4.095485308999028,0.28168537023182544,0.24597082397390446
39.0,637,24.55259026687598,6.378458271023504,637,17.74568288854003,4.210797857579421,0.25978759070600843,0.2372857603749196
41.0,1542,25.846952010376135,6.691878167097512,1542,18.669260700389106,4.254502745647014,0.2589039575889292,0.22788812122369373
43.0,369,26.476964769647697,6.811525997492507,369,19.273712737127372,4.364927851123849,0.25726234320109875,0.22647052545904112
45.0,348,27.448275862068964,6.557673413053496,348,19.95402298850575,4.319803725867366,0.2389102122846123,0.21648785953367555
47.0,372,28.411290322580644,7.37155467161925,372,20.669354838709676,4.903469986803832,0.2594586373206889,0.23723381910404806
49.0,3322,29.922335942203492,7.210517149616722,3322,21.849187236604454,4.675415814653204,0.2409744066621069,0.21398580020497834
51.0,2035,30.74250614250614,7.2818342293472895,2035,22.423095823095824,4.837309649911012,0.23686534193382036,0.21572889346209614
53.0,388,31.420103092783506,7.487892586693612,388,23.128865979381445,4.86817346882386,0.23831534112354372,0.21048042187471114
55.0,355,33.304225352112674,7.476355131397106,355,24.428169014084506,4.927416184354579,0.22448668456787388,0.20171041806340814
57.0,331,33.92749244712991,7.459843978125355,331,24.921450151057403,4.956158612647467,0.21987607807297352,0.19887119660398977
59.0,347,35.52449567723343,7.853525732795107,347,26.187319884726225,5.345524898252786,0.22107353202562682,0.20412645974399876
61.0,304,36.86842105263158,7.496255796332177,304,27.039473684210527,5.09433332883821,0.2033245683516222,0.18840356836579267
63.0,313,38.412140575079874,8.065007087009203,313,28.15335463258786,5.250958086459623,0.20995984514961993,0.18651269644369747
65.0,311,39.643086816720256,8.162736463334944,311,28.958199356913184,5.574844592551111,0.20590567281183939,0.19251350969169392
67.0,325,40.12,7.84422410770191,325,29.664615384615384,5.269421184545127,0.19551904555588012,0.1776332211365176
69.0,343,41.690962099125365,8.387062227881037,343,30.626822157434404,5.496472349865949,0.20117219189952418,0.1794659701098544
71.0,327,42.91743119266055,8.635205910170791,327,31.776758409785934,6.155625728564626,0.20120509709461656,0.1937147159311551
73.0,317,43.36593059936909,8.691905162252908,317,32.04731861198738,5.81744708374866,0.20043165319227263,0.1815267964906315
75.0,366,45.00273224043716,8.878324732102127,366,33.27322404371585,5.840969518798219,0.197284126765186,0.17554564328133912
77.0,321,46.06853582554517,8.806689966269609,321,34.046728971962615,5.719019547041193,0.19116496342795136,0.1679755947113389
79.0,341,47.551319648093845,9.403120868995373,341,35.21114369501466,5.859330832591858,0.1977467910161839,0.16640558123709698
81.0,315,48.352380952380955,9.891430653043438,315,36.20634920634921,6.7052568267990535,0.20456967078384103,0.1851956072285578
83.0,304,49.85526315789474,8.919817292107432,304,37.026315789473685,5.75684109430653,0.17891425552920687,0.1554797168327279
85.0,298,50.7751677852349,9.4444924968969,298,37.741610738255034,5.987389673908352,0.18600613072997663,0.15864160423443485
87.0,347,52.76657060518732,9.310956349777241,347,38.86743515850144,6.26899472385023,0.17645559002581665,0.16129170083606656
89.0,331,53.453172205438065,10.02784368633298,331,39.60725075528701,6.465512845717914,0.1876005346846898,0.16324063706579933
91.0,332,54.325301204819276,10.273726127821634,332,40.48192771084337,6.560637810315562,0.18911494092020306,0.16206337448100944
93.0,358,56.03351955307262,9.63879848931099,358,41.667597765363126,6.079179726400377,0.17201843764572952,0.1458970531642646
95.0,319,56.44514106583072,9.646713842119292,319,41.78683385579937,6.268997467871837,0.17090423834477697,0.1500232702363928
97.0,275,58.06909090909091,10.287773068938815,275,43.16,6.870799313884726,0.17716435556128587,0.1591936819713792
99.0,325,59.15384615384615,9.709405471288544,325,44.05230769230769,6.069075317844985,0.16413819392295328,0.13776974773343717
101.0,279,60.064516129032256,10.329262530466538,279,44.333333333333336,7.001027673792521,0.17196946210765987,0.15791791745396663
103.0,261,62.79693486590038,10.996544483100962,261,46.440613026819925,6.801676688626037,0.1751127583947133,0.1464596663420011
105.0,280,62.55,10.148238189521098,280,46.525,6.431281359753701,0.16224201741840286,0.13823280730260507
107.0,43568,64.36572713918473,10.430933891231195,43568,47.90984208593463,6.9004706727935385,0.16205726797236825,0.14403033640595903
109.0,335,63.87761194029851,9.668453252308385,335,47.788059701492536,6.668352335523112,0.15135902796968592,0.13954013569868465
111.0,235,66.31063829787234,10.108455334468976,235,49.62127659574468,6.7296047105249786,0.1524409294487717,0.1356193385621619
113.0,245,65.31428571428572,9.890548560098784,245,49.09795918367347,6.4628982039831415,0.15143009606450455,0.13163272591037242
115.0,248,67.25403225806451,10.627859647131078,248,50.61290322580645,7.295619757807825,0.15802561259598943,0.14414545091908387
117.0,269,69.66914498141264,10.223902689605078,269,52.0817843866171,6.834449814489115,0.14674936361473592,0.13122533905050476
119.0,269,71.07063197026022,10.828317283684399,269,52.74349442379182,7.33914599002104,0.15235994085736496,0.13914789056355087
121.0,265,72.52075471698113,11.167141981469802,265,53.9811320754717,7.3995561036951685,0.1539854628519876,0.1370767121621265
123.0,266,73.34210526315789,11.656704026382807,266,55.090225563909776,7.886897322958576,0.15893604341677312,0.1431632788253706
125.0,226,74.70796460176992,10.99226509136044,226,55.61946902654867,7.697986558194776,0.1471364552622281,0.13840453159522828
127.0,246,75.1829268292683,12.208857322165395,246,55.8780487804878,7.943767024815716,0.16238869430941805,0.1421625700643581
129.0,277,77.06859205776173,11.285442840755772,277,57.581227436823106,7.220999565144993,0.1464337486832185,0.12540544699342715
131.0,229,77.34497816593887,11.91559252763407,229,57.532751091703055,7.762088581862821,0.15405773988415775,0.1349159988801963
133.0,258,79.8953488372093,11.114223792078652,258,59.51937984496124,7.572323942244206,0.13910977239394035,0.12722451010022173
135.0,256,80.43359375,12.101996447475349,256,60.01171875,7.641210468667291,0.1504594769828415,0.12732863893632926
137.0,242,81.4297520661157,11.627572358081599,242,60.6900826446281,7.7603514588532505,0.14279267789788627,0.12786852679529426
139.0,255,82.45490196078431,11.920872876100377,255,61.60392156862745,7.742152765390463,0.1445744594029105,0.12567629735658337
141.0,239,83.65690376569037,11.012953814376544,239,62.79916317991632,7.482292775556351,0.13164429136921046,0.11914637706429261
143.0,268,85.9589552238806,12.069174606549566,268,63.798507462686565,7.837564257747821,0.14040625057756148,0.12284870868384701
145.0,249,86.95180722891567,12.912456739887405,249,65.21285140562249,8.679722121755697,0.14850130378421153,0.13309833774585347
147.0,306,87.359477124183,12.122118723583572,306,65.66666666666667,8.492233674769274,0.13876134705284204,0.1293233554533392
149.0,539,88.48794063079778,12.832685933934348,539,66.25974025974025,8.39140518466972,0.1450218622159684,0.12664410019983702
151.0,240,89.39166666666667,12.258919275903166,240,66.60416666666667,8.295130353838257,0.1371371597938268,0.12454371504042425
153.0,264,90.86742424242425,12.196795666032687,264,67.87878787878788,8.209268899456196,0.13422627270134765,0.12094012217948862
155.0,236,92.59745762711864,12.722029557504833,236,68.44067796610169,8.146574659778322,0.137390700387642,0.11903118002152577
157.0,1080,93.8324074074074,12.29098337132698,1080,70.09444444444445,8.09571830830358,0.1309886819589017,0.11549728901439679
159.0,516,94.00387596899225,12.36531260508523,516,70.54069767441861,8.265044575947693,0.13154045487617982,0.1171670375886428
161.0,246,97.8130081300813,12.852602114680938,246,72.59756097560975,8.49421376563286,0.13139972239263198,0.11700412040683598
163.0,254,95.39370078740157,12.694748520745884,254,71.97637795275591,8.203888566980476,0.13307742980889206,0.11398029187249976
165.0,214,97.19158878504673,12.84562453773193,214,73.22429906542057,8.306124683199924,0.13216806822802216,0.11343399375907999
167.0,235,99.39148936170213,12.977953524606729,235,74.45531914893617,8.517523628686336,0.13057409248972818,0.11439778549130072
169.0,242,98.99173553719008,12.72074521406425,242,74.63223140495867,8.109281756224235,0.12850310326446604,0.1086565630367236
171.0,253,101.75098814229248,14.028784503820022,253,76.11857707509881,9.227383910961224,0.1378736930220435,0.12122380981790372
173.0,250,101.356,13.098532368200772,250,76.9,9.328132515401977,0.1292329252160777,0.12130211333422596
175.0,211,103.22274881516587,12.75044925551873,211,77.45971563981043,8.252678521298224,0.12352363603831276,0.10654155457623135
177.0,193,105.45077720207254,14.327236297124587,193,79.59067357512953,9.012914117980943,0.13586657848590042,0.11324083228763245
179.0,203,105.01477832512315,14.87588181345377,203,78.78817733990148,9.709618489720365,0.14165512750403958,0.12323699846275066
181.0,205,107.1170731707317,13.784971613031011,205,80.20487804878049,9.183690552627933,0.12869070452531342,0.11450289279216193
183.0,196,106.88775510204081,13.189648352118342,196,80.28061224489795,8.637890983849868,0.12339718744702602,0.10759622706289
185.0,200,111.775,13.951616862046011,200,83.375,9.30900979248507,0.12481875966938949,0.11165229136413876
187.0,191,110.94764397905759,14.845782041372907,191,83.21989528795811,9.276672610684273,0.13380889858440967,0.11147181306327122
189.0,204,111.0,13.133269152069092,204,82.94117647058823,8.419217437174254,0.11831774010873056,0.10150829534181725
191.0,168,114.61309523809524,14.164104751660977,168,85.67261904761905,10.151249605276046,0.12358190590906487,0.11848884413856567
193.0,201,114.03482587064677,13.280202599905142,201,85.1542288557214,9.090164713984182,0.11645742867156465,0.106749422032649
195.0,208,114.0,15.514680596443547,208,86.4423076923077,10.807786532000586,0.13609368944248726,0.1250288987016753
197.0,187,116.7379679144385,14.153186583666706,187,87.18181818181819,9.591051547912848,0.12123893225587147,0.1100120615506166
199.0,192,119.359375,14.46863426926678,192,89.30208333333333,9.651107189465256,0.12121908538199684,0.1080725872143549
201.0,178,116.92696629213484,12.527044317483298,178,89.0,8.801001483845122,0.10713563102445717,0.0988876571218553
203.0,187,119.3475935828877,13.849887701324999,187,89.84491978609626,9.720420439211287,0.11604664397113428,0.10819109708544197
205.0,181,119.32596685082873,15.88566229091873,181,90.04419889502762,10.804229215358166,0.13312829311307947,0.11998806528284625
207.0,214,123.87383177570094,15.137801059906757,214,92.72429906542057,9.77606871188188,0.12220338099588991,0.10543157306570188
209.0,178,122.69101123595506,14.999812732913433,178,91.98314606741573,9.894628297333131,0.12225681883138381,0.10757001385972621
211.0,197,124.84771573604061,14.718000826435123,197,93.88324873096447,10.024539971330197,0.11788762605438988,0.10677666257648277
213.0,186,126.79032258064517,13.385515079720815,186,95.11827956989248,8.805218922171335,0.10557205634686305,0.09257125929933689
215.0,47133,127.1003330999512,14.729651277839125,47133,95.40513016357966,9.785793532505084,0.11588995023526638,0.10257093633986522
217.0,164,129.0609756097561,14.734332480420461,164,96.70121951219512,9.737146555513236,0.11416566790082942,0.10069311022789398
219.0,190,130.11052631578949,13.73341788912335,190,98.5578947368421,9.394038174096075,0.1055519355581666,0.09531492326595398
221.0,172,130.44767441860466,14.920555519691076,172,97.80232558139535,9.649797461670971,0.114379620688455,0.09866633952011693
223.0,195,133.87692307692308,15.144500916488347,195,99.92820512820512,9.969281393565797,0.11312256487838918,0.0997644396872283
225.0,182,132.98901098901098,14.65288575315137,182,100.27472527472527,9.36322409182448,0.11018117695726118,0.09337571423079755
227.0,199,133.44221105527637,15.536058648153562,199,101.09547738693468,10.0597171299991,0.11642536889408996,0.09950709359130236
229.0,165,134.38787878787878,15.49885435529612,165,100.54545454545455,9.704446143112325,0.11532925807810318,0.0965179996150412
231.0,185,136.0162162162162,15.203859519898971,185,102.86486486486487,10.436563449682469,0.11177975643529428,0.1014589720541911
233.0,191,138.9109947643979,15.658440957380204,191,104.3455497382199,10.400200837452866,0.11272283366725534,0.09967076567754628
235.0,193,138.41968911917098,15.370257598779848,193,104.26943005181347,10.438308261445782,0.11104097759927047,0.10010899892958834
237.0,175,139.71428571428572,14.62514648432669,175,104.73142857142857,10.04883968336333,0.10467896256675545,0.09594865476803703
239.0,192,140.47395833333334,15.01724485011506,192,105.375,9.700488463979049,0.10690411965526274,0.09205683002589844
241.0,185,142.6054054054054,14.656611988130914,185,107.4,9.656153703614397,0.10277739435236977,0.08990832126270387
243.0,163,144.41104294478527,14.73080674722435,163,108.49693251533742,10.027969670757884,0.10200609625717189,0.09242629665442664
245.0,185,146.66486486486485,17.052862443261926,185,109.77297297297298,11.468876803555574,0.11627094504859237,0.10447814696955786
247.0,188,146.40425531914894,14.990420576760124,188,110.4627659574468,9.830308736182932,0.1023906070495169,0.08899205674398764
249.0,207,145.59420289855072,16.31990758877651,207,109.64251207729468,10.456462184975578,0.1120917403569161,0.09536868489116782
251.0,188,150.51063829787233,17.17867393290504,188,112.79787234042553,11.4659036852973,0.11413594498820143,0.10164999966216602
253.0,190,150.82105263157894,16.07388953589112,190,113.01578947368421,10.481768659971392,0.10657590074746345,0.09274605529709704
255.0,247,149.54655870445345,16.868599608251152,247,112.70040485829959,11.014740670144954,0.11279831347766621,0.09773470365074555
257.0,340,153.75588235294117,15.956313722058047,340,115.37058823529412,10.837674085981805,0.10377693183426241,0.09393792865022724
259.0,191,152.33507853403142,16.143852500144785,191,114.3979057591623,10.750706014099642,0.10597593578250115,0.09397642328114561
261.0,194,155.05670103092783,16.087258223305653,194,115.55154639175258,10.559965589146143,0.10375080932553096,0.09138748825865868
263.0,184,156.3641304347826,16.420466248192543,184,117.4945652173913,10.653508251336614,0.10501427790717835,0.09067234924122008
265.0,718,158.1782729805014,16.788585360534206,718,118.77715877437326,10.945302413126075,0.1061371138032575,0.09214989250515375
267.0,180,157.38333333333333,18.01373622371079,180,118.08333333333333,11.819818127139653,0.1144577118948054,0.10009726007457717
269.0,133,158.21804511278197,15.733740210069241,133,118.43609022556392,11.263613570185385,0.09944339913221541,0.09510288248061555
271.0,142,159.55633802816902,15.943839668482884,142,119.61267605633803,11.553666693501636,0.09992608169327666,0.09659232678700219
273.0,150,161.18666666666667,17.431124930167172,150,121.36,11.48812050562136,0.10814247413041095,0.09466150713267436
275.0,130,162.9923076923077,16.241155567512966,130,123.1076923076923,10.89217495514228,0.09964369360407219,0.08847680230995354
277.0,145,162.4344827586207,16.638231490348872,145,122.4,11.203546065618887,0.10243041506816908,0.09153223909819352
279.0,141,166.22695035460993,17.13866505650152,141,124.2482269503546,11.082261262530437,0.10310400942771202,0.0891945224052053
281.0,142,166.0281690140845,16.300782586605184,142,124.4225352112676,9.618483936849518,0.098180824876906,0.07730499881325739
283.0,144,166.09722222222223,16.472617433095596,144,125.92361111111111,11.744410877889397,0.0991745509810923,0.09326615377577196
285.0,131,168.6259541984733,15.019646558303144,131,126.6793893129771,10.736900552317065,0.08907078764770085,0.08475649125360263
287.0,135,169.35555555555555,17.75137861649256,135,126.97777777777777,11.738739708769796,0.10481722054089557,0.09244719756644046
289.0,149,168.16778523489933,18.300569583723323,149,126.51677852348993,11.312277488834882,0.10882327764595823,0.0894132590226724
291.0,122,173.64754098360655,16.01338393274968,122,130.81147540983608,10.583264480365866,0.0922177408447232,0.0809047099821189
293.0,149,174.2013422818792,15.934400940143327,149,130.36912751677852,11.010037799287415,0.09147117198649082,0.08445279959298971
295.0,157,173.4140127388535,17.939729790288226,157,130.80254777070064,12.306158292854567,0.10345028932179723,0.0940819464344647
297.0,128,173.9140625,16.953863909928558,128,130.078125,10.731959317263625,0.09748414628591956,0.08250395150809273
299.0,138,175.57971014492753,16.464875950378616,138,132.58695652173913,10.99749690224481,0.09377436570995662,0.08294554148274492
301.0,121,177.06611570247935,19.517827550383302,121,132.88429752066116,11.80550018892651,0.11022903774078784,0.08884044547920317
303.0,159,179.30817610062894,19.40897276693247,159,135.50314465408806,11.93700459311958,0.10824365731119827,0.08809393039248146
305.0,162,178.51234567901236,16.68533690866146,162,134.2037037037037,11.276942280209042,0.09346881217203763,0.08402854741703993
307.0,131,179.96946564885496,16.0551640057252,131,135.4351145038168,10.983273462330184,0.08921048883398376,0.08109620243294183
309.0,143,184.06993006993008,17.05238422454626,143,138.14685314685315,11.124112904627582,0.09264079264911917,0.0805238241134773
311.0,134,183.67164179104478,17.749627177871318,134,138.46268656716418,12.051678644140107,0.09663782064987635,0.08703917960088252
313.0,153,187.30718954248366,17.13310163556578,153,140.4640522875817,10.994033156666369,0.09147060333036375,0.07826937196826367
315.0,136,184.25735294117646,18.252547797206955,136,140.11764705882354,12.946647684806663,0.0990600782321779,0.092398409169485
317.0,123,186.16260162601625,17.170014838942496,123,140.84552845528455,12.268199942998843,0.09223127894095236,0.0871039363304582
319.0,152,189.44736842105263,18.63408166912034,152,141.90131578947367,12.484034767856388,0.0983602032819243,0.08797687814521633
321.0,166,188.36144578313252,18.1111573267758,166,141.83132530120483,11.86675445365053,0.0961510846950487,0.08366807846185814
323.0,38282,190.0,18.069605556499475,38282,143.07470874040018,11.994275966691996,0.09510318713947093,0.08383225849129516
325.0,152,193.41447368421052,18.289954568881598,152,145.26973684210526,12.189980901025868,0.09456352578216956,0.08391273479262407
327.0,149,193.1275167785235,16.624748968071845,149,145.49664429530202,11.955222855640315,0.08608172074793942,0.0821683751783019
329.0,141,196.17730496453902,19.347677486289548,141,146.91489361702128,11.925656233337637,0.09862342379403587,0.0811739091914365
331.0,134,194.44776119402985,18.0557062665698,134,146.88805970149255,12.063528859241911,0.09285633403900649,0.08212736204533942
333.0,156,196.87179487179486,19.329642270513908,156,148.97435897435898,12.817301169273286,0.09818390838109435,0.08603696137722171
335.0,142,198.73239436619718,17.199255918656164,142,149.07042253521126,11.87084627604787,0.08654480299252924,0.07963247218437251
337.0,156,196.64102564102564,19.25447538020915,156,147.71153846153845,12.81833848393909,0.09791687831896687,0.08677953406650601
339.0,130,203.1076923076923,19.300257520813226,130,152.12307692307692,13.507973748872864,0.09502474919352065,0.08879634847054371
341.0,144,202.29166666666666,18.770559823402074,144,151.54861111111111,12.711335099647874,0.09278958512083416,0.0838762889771935
