EventID,Edep_MeV,#PE,#NoisePE
0,0.10749996218817452,71,18
1,0.1076550264583067,51,13
2,0.10763232255320539,74,18
3,0.10757304192371486,50,15
4,0.10794678338227305,67,14
5,0.10775829406552592,53,8
6,0.1076463226518334,53,17
7,0.10768931729232922,64,15
8,0.10762166790951666,62,14
9,0.10761325645344619,70,19
10,0.10765083524637233,47,8
11,0.03952884568452626,30,10
12,0.1075316000875843,69,21
13,0.10748079279105321,58,7
14,0.10732238877065922,61,16
15,0.10747970422658595,66,15
16,0.1076907074819562,72,25
17,0.05026766169007779,28,6
18,0.1075291551672326,63,13
19,0.10755874761012463,61,13
20,0.10776359052302938,64,16
21,0.10771163034195567,45,6
22,0.10756061542359022,49,11
23,0.10753694091333836,54,10
24,0.10754823510704818,52,16
25,0.10749572335239498,48,13
26,0.10769731416543114,66,14
27,0.049312574860934225,28,6
28,0.1074921088437231,84,36
29,0.10771904814793638,61,19
30,0.10728720491556058,68,24
31,0.10750753809339708,55,13
32,0.10784598296833077,70,25
33,0.10768189102823024,75,17
34,0.10755020946295747,60,11
35,0.10751804102485646,58,12
36,0.10760677359951756,63,16
37,0.050458956189048644,39,10
38,0.1074101154872778,46,9
39,0.10766187475436151,67,18
40,0.10753615950917954,75,17
41,0.10762775612074581,66,17
42,0.10794395595224672,42,11
43,0.10776727922864558,57,9
44,0.10748351977063031,83,18
45,0.10775154323754517,47,11
46,0.10746837957493482,69,17
47,0.10763102049162122,66,16
48,0.10772013919504002,81,25
49,0.04915196531772972,26,12
50,0.10742765816397629,67,15
51,0.10761703657420456,39,7
52,0.10768020270686282,61,16
53,0.10758941331051435,71,16
54,0.10756030746158601,60,15
55,0.1073521808767295,48,11
56,0.04927640064789955,24,8
57,0.10778041063937821,63,15
58,0.10761852190384015,58,13
59,0.10755446230928206,71,23
60,0.10775117120732924,66,13
61,0.10754593686934813,86,26
62,0.10768058793500766,67,19
63,0.10765419737748863,49,9
64,0.10742780762384369,72,14
