EventID,Edep_MeV,#PE,#NoisePE,SignalPE,fine_bin,merged_bin
292205,0.16300654934357017,111,30,81,163,15
228112,0.1630076688552114,95,21,74,163,15
144733,0.1630213086724502,91,21,70,163,15
272483,0.1630217716939401,110,29,81,163,15
144920,0.1630228854022235,77,12,65,163,15
227234,0.16302887260246948,96,25,71,163,15
163713,0.16303049091043686,105,21,84,163,15
254567,0.16303218141696288,98,23,75,163,15
267571,0.16303262907961558,91,26,65,163,15
219393,0.16304391239567326,79,16,63,163,15
396928,0.16305946715568523,112,39,73,163,15
135008,0.16306194046694553,108,27,81,163,15
303611,0.16307560573700308,127,45,82,163,15
263397,0.1630917958859576,95,23,72,163,15
343328,0.16309704912107328,96,21,75,163,15
376485,0.1631005500673837,84,17,67,163,15
396056,0.16310143689366827,101,24,77,163,15
335558,0.1631085884234146,104,37,67,163,15
387116,0.16310953280310303,87,24,63,163,15
361566,0.1631169233434233,97,19,78,163,15
334080,0.16312681776201254,103,20,83,163,15
311535,0.1631284956856998,85,19,66,163,15
127119,0.1631308765826987,106,35,71,163,15
393026,0.16313382930638734,122,33,89,163,15
217056,0.16314060525580337,80,19,61,163,15
329948,0.16314178517699648,89,22,67,163,15
338482,0.16314445151280127,91,18,73,163,15
158525,0.1631538503772283,95,19,76,163,15
272591,0.16316662491012285,82,20,62,163,15
175408,0.1631732216409836,85,20,65,163,15
316782,0.16318846984357513,119,36,83,163,15
245894,0.16319075155132595,107,20,87,163,15
388381,0.16319503774900543,115,35,80,163,15
105513,0.1631994637195693,80,16,64,163,15
250723,0.16320930118246063,107,39,68,163,15
227627,0.16321121280995424,91,25,66,163,15
230638,0.1632166206307999,88,15,73,163,15
124439,0.16321943492995408,89,17,72,163,15
200140,0.16322388943335328,100,30,70,163,15
266696,0.1632342330483963,102,27,75,163,15
166717,0.16325609314984793,81,18,63,163,15
295708,0.16327057775433698,101,20,81,163,15
267988,0.16327613376876512,77,17,60,163,15
246921,0.16329082292297886,92,19,73,163,15
357445,0.16331241066435112,85,12,73,163,15
210143,0.1633145582358127,106,34,72,163,15
123787,0.1633388476411394,115,32,83,163,15
270443,0.16333951925121043,102,23,79,163,15
158642,0.16334210055307588,73,13,60,163,15
292606,0.16334578841599895,103,27,76,163,15
326167,0.16337573663319171,90,19,71,163,15
173652,0.16337920419666244,86,16,70,163,15
342233,0.1633801309079954,105,29,76,163,15
377768,0.16338936955464428,85,13,72,163,15
174432,0.1633933686944131,104,31,73,163,15
336907,0.1634029818489549,115,37,78,163,15
393863,0.16341076664262988,73,15,58,163,15
328607,0.163412397086889,83,22,61,163,15
321072,0.16341449020945445,101,26,75,163,15
174535,0.16341560140158903,98,24,74,163,15
273599,0.16341904918807887,95,17,78,163,15
397001,0.16341989165873821,94,20,74,163,15
131268,0.16342183255451548,104,21,83,163,15
245571,0.16343528930047968,91,18,73,163,15
199188,0.1634362867092742,96,23,73,163,15
202315,0.16346741816007607,79,11,68,163,15
