EventID,Edep_MeV,#PE,#NoisePE,SignalPE,fine_bin,merged_bin
396386,0.861000171025912,503,128,375,861,40
389115,0.8610002058365178,500,124,376,861,40
361675,0.8610002373824127,457,111,346,861,40
378714,0.8610003153163817,459,85,374,861,40
351540,0.86100041913518,469,104,365,861,40
396106,0.8610005092827543,491,134,357,861,40
378792,0.861000526975521,512,125,387,861,40
383693,0.8610005335172717,470,101,369,861,40
381821,0.8610007879199293,513,111,402,861,40
366123,0.861000933758709,529,138,391,861,40
389892,0.8610010445114495,509,125,384,861,40
380623,0.8610012014739916,539,117,422,861,40
357610,0.8610012156589215,443,96,347,861,40
369289,0.861001434299027,505,138,367,861,40
351490,0.8610014636777993,509,126,383,861,40
389426,0.8610015539601272,483,120,363,861,40
380602,0.861001620506146,490,112,378,861,40
377384,0.8610016501497558,469,107,362,861,40
357072,0.8610016771496762,480,118,362,861,40
360678,0.861001694354371,479,112,367,861,40
391398,0.8610017195144276,482,127,355,861,40
397666,0.8610018142651543,549,134,415,861,40
385827,0.8610019842333336,471,112,359,861,40
395272,0.8610020270252514,516,120,396,861,40
358416,0.8610021113090045,461,102,359,861,40
358349,0.8610022324530865,494,118,376,861,40
374414,0.8610022347718618,472,117,355,861,40
368288,0.8610022383093842,531,135,396,861,40
362172,0.8610022924198515,520,133,387,861,40
389169,0.8610022948844237,569,154,415,861,40
369142,0.8610023242253282,486,98,388,861,40
381387,0.8610023284310979,495,105,390,861,40
357535,0.8610026391935657,520,125,395,861,40
370240,0.8610026502211344,535,153,382,861,40
398798,0.8610026852480815,507,123,384,861,40
368677,0.8610027097692395,497,97,400,861,40
374103,0.8610027625445712,537,132,405,861,40
379847,0.8610027953338424,504,88,416,861,40
358241,0.8610027991549488,540,139,401,861,40
353748,0.8610028778293538,483,118,365,861,40
367022,0.86100288490419,529,151,378,861,40
377050,0.8610029227289837,559,131,428,861,40
363585,0.8610030223317102,491,119,372,861,40
356138,0.8610030326703948,483,129,354,861,40
351447,0.8610030436218652,469,103,366,861,40
359403,0.8610031088758523,538,135,403,861,40
355284,0.8610036964535743,492,139,353,861,40
381445,0.8610037610840959,504,126,378,861,40
378127,0.8610038566619461,501,120,381,861,40
