EventID,Edep_MeV,#PE,#NoisePE,SignalPE,fine_bin,merged_bin
6780,0.1080010686873681,62,16,46,108,3
39824,0.10800180491870734,56,9,47,108,3
48973,0.10800330341145696,74,29,45,108,3
9714,0.1080033711622496,68,23,45,108,3
45561,0.10800422582995582,63,14,49,108,3
11948,0.10800566044458929,44,10,34,108,3
25137,0.10800758063756814,60,16,44,108,3
45414,0.10800801834846512,59,16,43,108,3
11516,0.10800818729719146,61,8,53,108,3
12438,0.10800820650381152,75,17,58,108,3
14110,0.10800863866242484,62,19,43,108,3
22418,0.10800925644710092,54,11,43,108,3
6056,0.10800954567090719,67,14,53,108,3
16371,0.10801074866197168,80,29,51,108,3
7540,0.10801078663461633,56,12,44,108,3
24778,0.1080108278824225,64,19,45,108,3
31725,0.10801104286345592,76,20,56,108,3
34534,0.108011949895143,55,14,41,108,3
41740,0.10801212785945628,86,31,55,108,3
4274,0.10801213156963443,67,13,54,108,3
10404,0.10801227592510551,52,15,37,108,3
26995,0.10801240758309973,59,17,42,108,3
24445,0.10801256661056935,58,18,40,108,3
33634,0.10801345467073552,96,31,65,108,3
20794,0.1080145759765586,54,12,42,108,3
28783,0.10801578766038163,83,26,57,108,3
43778,0.10801633445080214,62,16,46,108,3
289876,0.10801720915819951,67,17,50,108,3
6289,0.10801737446039726,52,9,43,108,3
11021,0.10801832451179279,68,11,57,108,3
29060,0.10801955657893475,70,19,51,108,3
22798,0.10801966134229933,62,18,44,108,3
44919,0.10802015213551319,80,28,52,108,3
21848,0.10802050791603625,57,8,49,108,3
29304,0.1080210538786748,70,13,57,108,3
35137,0.10802133974116078,73,23,50,108,3
43511,0.10802290834153383,60,12,48,108,3
34276,0.10802291265740636,67,14,53,108,3
42460,0.1080239742692178,63,18,45,108,3
5329,0.10802497577760925,52,13,39,108,3
21305,0.10802553952767237,58,9,49,108,3
35644,0.10802601981233331,68,25,43,108,3
23138,0.1080260310686991,63,17,46,108,3
9648,0.10802635475662634,64,10,54,108,3
40782,0.10802651574445193,84,22,62,108,3
33911,0.10802722347152463,77,20,57,108,3
3828,0.10802826314116135,66,13,53,108,3
12238,0.10803012904725603,80,26,54,108,3
36399,0.10803153380170447,67,19,48,108,3
15935,0.10803232012054423,81,18,63,108,3
32545,0.10803378144893161,58,15,43,108,3
28695,0.10803588964483338,62,19,43,108,3
40486,0.10803661403141838,60,12,48,108,3
390326,0.1080366284878691,71,19,52,108,3
9304,0.10803722487269311,58,7,51,108,3
25998,0.10803819198633813,57,13,44,108,3
10175,0.10803880295490403,53,10,43,108,3
137,0.10803888694833884,58,11,47,108,3
34203,0.10803918784672689,58,12,46,108,3
192791,0.10803959215174198,67,20,47,108,3
151192,0.10804284005043521,67,17,50,108,3
1839,0.10804448201117965,72,21,51,108,3
200005,0.10804510222060497,72,25,47,108,3
12974,0.10804799406549458,56,12,44,108,3
48138,0.1080481361162602,61,14,47,108,3
3055,0.10804873707608915,61,18,43,108,3
46551,0.1080506539815948,52,15,37,108,3
1982,0.10805316811516737,71,12,59,108,3
11771,0.10805603757582219,57,6,51,108,3
43653,0.1080562856159088,64,13,51,108,3
160175,0.10805882957380188,67,26,41,108,3
46504,0.1080599068019031,79,19,60,108,3
23453,0.10806055682193592,50,13,37,108,3
36745,0.10806151076755485,65,12,53,108,3
348451,0.1080635277260088,81,24,57,108,3
329427,0.10806402642240769,57,15,42,108,3
17633,0.1080658192193921,53,10,43,108,3
33939,0.10806763569774391,60,13,47,108,3
35371,0.10806780028524565,72,18,54,108,3
262403,0.1080679111966477,49,13,36,108,3
42112,0.10806912061694814,54,12,42,108,3
40459,0.10807221451933695,76,29,47,108,3
231385,0.10807629850586564,59,19,40,108,3
241206,0.10807912474034534,71,17,54,108,3
47526,0.10807934948576843,61,18,43,108,3
15329,0.10807968626485895,44,9,35,108,3
5568,0.10808323554923613,57,17,40,108,3
397989,0.10808447359768229,54,17,37,108,3
285654,0.10809551586196588,61,13,48,108,3
300166,0.10809839167682535,39,9,30,108,3
26272,0.10809933162259681,87,30,57,108,3
336834,0.10810150565104407,74,20,54,108,3
216478,0.10810537516047997,61,21,40,108,3
8595,0.10810893384260124,67,19,48,108,3
199797,0.1081153134710055,79,24,55,108,3
258615,0.10811698639763778,60,12,48,108,3
232469,0.10812609696553953,80,17,63,108,3
353510,0.10813497322518068,70,21,49,108,3
347733,0.10813739134038479,64,15,49,108,3
113555,0.10814458077298965,73,18,55,108,3
349751,0.1081516641501625,63,18,45,108,3
37142,0.10815505180804369,62,19,43,108,3
294272,0.10816049742387436,72,21,51,108,3
8478,0.10816315281835649,72,21,51,108,3
209858,0.10817536474454813,81,28,53,108,3
291767,0.10819253842461603,60,9,51,108,3
239667,0.1081952678341999,53,14,39,108,3
261999,0.10819747849728847,82,38,44,108,3
186383,0.10820085144422471,76,20,56,108,3
160776,0.1082107135186962,57,12,45,108,3
105926,0.10822029423424272,57,15,42,108,3
284146,0.10822285848133072,54,11,43,108,3
289528,0.10823031535611055,62,16,46,108,3
225770,0.1082517933544108,68,18,50,108,3
209719,0.10825828900646017,60,14,46,108,3
180117,0.10825956747898975,73,14,59,108,3
311943,0.108259752826303,61,12,49,108,3
139545,0.10826534130741804,55,12,43,108,3
325250,0.1082882516939066,69,15,54,108,3
220728,0.10830037515345588,57,14,43,108,3
333202,0.10830302129291303,67,16,51,108,3
373724,0.10830648509669774,60,7,53,108,3
258295,0.10833099939815162,50,11,39,108,3
230253,0.1083649775767409,61,17,44,108,3
150035,0.10837316076744455,57,16,41,108,3
100148,0.10837482933811181,62,14,48,108,3
390706,0.1083751497894818,68,11,57,108,3
136226,0.10838086936994613,67,15,52,108,3
148251,0.10839538713060493,57,14,43,108,3
261919,0.10839948141433771,82,30,52,108,3
311879,0.1084012464432708,72,16,56,108,3
288769,0.10841245793233231,63,18,45,108,3
150914,0.1084133541514171,58,8,50,108,3
368864,0.10842074917687924,54,9,45,108,3
229337,0.10842494103893292,70,13,57,108,3
