Mean_Edep_MeV,Resolution_%
0.025240968498815994,209.8452826831305
0.05560716210410768,60.4208664402321
0.10603100339415081,36.06609534073431
0.14362868198225578,45.83587574266953
0.20889971390266707,27.30457620285503
0.21524723114903768,24.331543631970067
0.3095065900421805,23.696706714323806
0.3301612728163172,21.90965065657749
0.42676178718026603,18.21784720159303
0.5203213125814075,19.252536357758334
0.5384962005674453,15.44317533469582
0.6397564654782463,14.828447903330408
0.7376194237244363,15.178113262783825
0.8579830251112706,12.627713708343148
